SID,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL
HS2026001,2.81,0.8,0.6,0.8,0.63,0.9,Rarely,21-23 years,Male,200,BSc Nursing,Upper-middle income,Always,No,3-4 hours,4-5 hours,Low risk,2,2,4,2,3,2,2,2,3,3,4,5,4,3,4,4,4,4,4,5,2,3,4,1,4,4,1,3,3,3,3,4,2,2,2,1,2,2,2,3,2,2,Not At-Risk
HS2026002,3.48,0.95,0.82,0.82,0.87,0.9,Almost never,21-23 years,Female,200,BSc Nursing,Middle income,Always,No,2-3 hours,5-6 hours,Moderate risk,3,3,3,5,4,3,3,3,5,2,4,2,4,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,Not At-Risk
HS2026003,3.26,0.78,0.83,0.83,0.4,0.92,Sometimes,18-20 years,Female,200,BSc Nursing,High income,Rarely (once or twice a semester),No,2-3 hours,5-6 hours,Very low risk,5,3,5,5,3,1,2,1,4,3,3,3,3,2,3,4,3,5,5,5,1,3,4,3,3,5,1,3,2,2,3,5,1,5,1,1,1,1,1,1,3,3,Not At-Risk
HS2026004,2.52,0.81,0.95,0.95,0.77,0.78,Sometimes,18-20 years,Male,200,BSc Nursing,Very low income,Often (weekly),Yes - fewer than 10 hours/week,Less than 1 hour,5-6 hours,Very low risk,5,4,4,4,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,3,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,3,4,4,4,Not At-Risk
HS2026005,3.33,0.63,0.49,0.66,0.64,0.7,Rarely,18-20 years,Female,200,BSc Nursing,Very low income,Rarely (once or twice a semester),Yes - 10-20 hours/week,1-2 hours,Less than 4 hours,Very low risk,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,At-Risk
HS2026006,2.81,0.89,0.73,0.71,0.56,0.89,Rarely,24-26 years,Male,200,BSc Nursing,Very low income,Sometimes (monthly),Yes - fewer than 10 hours/week,More than 4 hours,Less than 4 hours,Very low risk,5,5,3,4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,At-Risk
HS2026007,3.05,0.79,0.79,0.8,0.67,0.85,Rarely,24-26 years,Female,200,BSc Nursing,Very low income,Sometimes (monthly),Yes - fewer than 10 hours/week,Less than 1 hour,4-5 hours,Very low risk,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,Not At-Risk
HS2026008,2.5,0.34,0.75,0.75,0.79,0.69,Rarely,18-20 years,Female,200,BSc Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,2-3 hours,Less than 4 hours,Very low risk,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,3,5,4,4,5,5,5,3,5,4,5,4,5,4,5,5,3,5,5,At-Risk
HS2026009,1.95,0.32,0.68,0.68,0.49,0.73,Almost never,24-26 years,Male,200,BSc Nursing,Middle income,Never,No,More than 4 hours,5-6 hours,Low risk,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,At-Risk
HS2026010,2.17,0.57,0.77,0.73,0.65,0.69,Sometimes,21-23 years,Female,200,BSc Nursing,Middle income,Often (weekly),No,1-2 hours,6-7 hours,High risk,5,4,3,5,4,3,3,2,3,2,4,2,2,1,3,3,2,3,5,5,3,3,2,4,5,2,5,4,5,3,4,2,3,2,1,2,2,3,3,2,2,3,At-Risk
