SID,CGPA_Y1,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,FAIL_COUNT,WARN_STATUS,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL
HS2026001,2.83,2.81,0.8,0.6,0.8,0.63,0.9,1,No,Rarely,21-23 years,Male,200,Nursing,Upper-middle income,Always,No,3-4 hours,4-5 hours,Low risk,2,2,4,2,3,2,2,2,3,3,4,5,4,3,4,4,4,4,4,5,2,3,4,1,4,4,1,3,3,3,3,4,2,2,2,1,2,2,2,3,2,2,Moderate Risk
HS2026002,3.2625,3.48,0.95,0.82,0.82,0.87,0.9,0,No,Almost never,21-23 years,Female,200,Nursing,Middle income,Always,No,2-3 hours,5-6 hours,Moderate risk,3,3,3,5,4,3,3,3,5,2,4,2,4,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,Low Risk
HS2026003,3.3475,3.26,0.78,0.83,0.83,0.4,0.92,0,No,Sometimes,18-20 years,Female,200,Nursing,High income,Rarely (once or twice a semester),No,2-3 hours,5-6 hours,Very low risk,5,3,5,5,3,1,2,1,4,3,3,3,3,2,3,4,3,5,5,5,1,3,4,3,3,5,1,3,2,2,3,5,1,5,1,1,1,1,1,1,3,3,Low Risk
HS2026004,2.805,2.52,0.81,0.95,0.95,0.77,0.78,0,No,Sometimes,18-20 years,Male,200,Nursing,Very low income,Often (weekly),Yes - fewer than 10 hours/week,Less than 1 hour,5-6 hours,Very low risk,5,4,4,4,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,3,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,3,4,4,4,Low Risk
HS2026005,2.215,3.33,0.63,0.49,0.66,0.64,0.7,2,No,Rarely,18-20 years,Female,200,Nursing,Very low income,Rarely (once or twice a semester),Yes - 10-20 hours/week,1-2 hours,Less than 4 hours,Very low risk,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,High Risk
HS2026006,2.415,2.81,0.89,0.73,0.71,0.56,0.89,3,No,Rarely,24-26 years,Male,200,Nursing,Very low income,Sometimes (monthly),Yes - fewer than 10 hours/week,More than 4 hours,Less than 4 hours,Very low risk,5,5,3,4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,High Risk
HS2026007,3.1075,3.05,0.79,0.79,0.8,0.67,0.85,1,No,Rarely,24-26 years,Female,200,Nursing,Very low income,Sometimes (monthly),Yes - fewer than 10 hours/week,Less than 1 hour,4-5 hours,Very low risk,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,Moderate Risk
HS2026008,2.7525,2.5,0.34,0.75,0.75,0.79,0.69,2,No,Rarely,18-20 years,Female,200,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,2-3 hours,Less than 4 hours,Very low risk,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,3,5,4,4,5,5,5,3,5,4,5,4,5,4,5,5,3,5,5,High Risk
HS2026009,1.93,1.95,0.32,0.68,0.68,0.49,0.73,4,No,Almost never,24-26 years,Male,200,Nursing,Middle income,Never,No,More than 4 hours,5-6 hours,Low risk,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,High Risk
HS2026010,2.1925,2.17,0.57,0.77,0.73,0.65,0.69,2,No,Sometimes,21-23 years,Female,200,Nursing,Middle income,Often (weekly),No,1-2 hours,6-7 hours,High risk,5,4,3,5,4,3,3,2,3,2,4,2,2,1,3,3,2,3,5,5,3,3,2,4,5,2,5,4,5,3,4,2,3,2,1,2,2,3,3,2,2,3,High Risk
HS2026011,2.7275,1.5,0.67,0.63,0.68,0.63,0.68,3,No,Sometimes,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,More than 8 hours,High risk,2,2,2,2,1,1,1,1,2,2,2,2,2,2,5,5,4,3,3,5,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,1,1,High Risk
HS2026012,1.715,1.63,0.89,0.6,0.78,0.66,0.84,3,No,Rarely,27-29 years,Female,200,Nursing,Middle income,Never,No,1-2 hours,7-8 hours,Low risk,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,4,5,4,3,3,3,3,3,3,3,High Risk
HS2026013,3.0475,3.48,0.45,0.8,0.8,0.89,0.78,1,No,Rarely,24-26 years,Female,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,Less than 1 hour,6-7 hours,Low risk,3,3,3,3,4,2,2,4,2,2,2,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,2,3,2,3,3,3,2,3,Moderate Risk
HS2026014,2.355,2.78,0.77,0.81,0.81,0.72,0.7,2,No,Rarely,24-26 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,5-6 hours,Moderate risk,4,5,4,1,3,3,3,4,5,3,4,1,5,2,5,3,4,5,4,5,4,3,2,4,4,4,3,3,4,4,4,5,3,5,1,2,3,3,2,3,3,3,High Risk
HS2026015,3.2075,3.33,0.87,0.8,0.8,0.81,0.9,0,No,Rarely,18-20 years,Female,200,Nursing,Middle income,Often (weekly),No,1-2 hours,7-8 hours,Low risk,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,4,3,4,4,4,2,1,3,3,4,2,2,3,4,4,3,4,4,4,5,5,5,3,4,4,3,3,Low Risk
HS2026016,2.8425,3.13,0.86,0.8,0.8,0.63,1,1,No,Almost never,21-23 years,Female,200,Nursing,High income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Very low risk,3,5,4,1,3,3,2,3,5,3,4,2,5,2,5,3,4,5,5,5,2,3,4,3,3,4,2,4,5,3,2,3,3,3,1,1,2,2,2,2,1,1,Moderate Risk
HS2026017,2.8475,3.33,0.6,0.64,0.64,0.77,0.79,1,No,Sometimes,27-29 years,Female,200,Nursing,Low income,Never,Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,High risk,5,5,5,3,4,3,3,4,5,4,5,2,3,2,2,5,4,2,2,1,2,2,2,5,3,4,5,5,5,5,4,4,2,4,1,2,4,3,2,3,3,2,Moderate Risk
HS2026018,2.2625,2.55,0.68,0.72,0.72,0.83,0.96,4,No,Sometimes,21-23 years,Female,200,Nursing,Middle income,Often (weekly),No,1-2 hours,6-7 hours,Moderate risk,3,5,3,1,3,3,3,3,5,3,4,2,5,2,4,3,4,4,5,4,3,4,4,4,3,4,4,5,4,4,4,4,2,3,2,1,2,2,2,2,2,2,High Risk
HS2026019,2.885,2.97,0.93,0.66,0.66,0.52,0.92,1,No,Rarely,21-23 years,Female,200,Nursing,Upper-middle income,Rarely (once or twice a semester),No,2-3 hours,6-7 hours,Low risk,4,5,3,1,2,2,2,3,5,2,4,1,5,2,4,4,4,4,4,4,1,3,4,4,2,4,3,4,4,3,4,4,2,3,2,1,2,2,2,2,2,2,Moderate Risk
HS2026020,3.2925,3.53,0.82,0.82,0.82,0.91,1,1,No,Rarely,24-26 years,Male,200,Nursing,Upper-middle income,Often (weekly),No,2-3 hours,4-5 hours,Low risk,2,3,3,1,3,2,2,3,5,2,5,1,5,1,4,4,4,4,4,5,2,3,5,2,2,4,2,3,2,3,4,4,2,3,1,1,2,2,2,1,2,1,Moderate Risk
HS2026021,2.57,3.58,0.89,0.76,0.76,0.76,0.89,2,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Low risk,3,4,3,1,2,2,2,3,5,5,4,2,5,2,4,3,4,5,5,5,2,3,2,3,3,4,3,4,3,5,5,5,2,3,1,1,2,2,1,2,3,1,High Risk
HS2026022,3.08,3.26,0.86,0.83,0.83,0.83,0.93,0,No,Rarely,24-26 years,Female,200,Nursing,Low income,Never,No,3-4 hours,4-5 hours,Very low risk,2,3,2,1,2,2,2,2,5,2,5,1,5,2,5,2,2,4,5,5,2,5,5,3,2,4,2,4,4,4,4,4,2,4,1,1,2,2,2,2,2,1,Low Risk
HS2026023,3.26,3.13,0.76,0.92,0.92,0.65,0.8,0,No,Almost never,21-23 years,Male,200,Nursing,Middle income,Often (weekly),No,2-3 hours,5-6 hours,Moderate risk,5,4,4,1,2,2,2,2,5,4,5,2,4,2,4,5,4,4,5,4,3,4,5,3,3,2,2,4,4,3,5,5,4,4,1,2,2,2,2,1,2,2,Low Risk
HS2026024,3.055,3.25,0.85,0.84,0.84,0.67,0.8,1,No,Sometimes,24-26 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,4-5 hours,Moderate risk,5,4,4,2,3,2,2,3,5,3,4,2,5,2,5,4,4,5,5,5,4,5,3,2,3,4,3,4,4,5,4,5,3,3,2,2,2,1,2,2,1,1,Moderate Risk
HS2026025,2.765,2.81,0.66,0.69,0.69,0.55,0.89,2,No,Sometimes,27-29 years,Female,300,Nursing,Middle income,Often (weekly),Yes - 10-20 hours/week,2-3 hours,6-7 hours,Moderate risk,5,3,4,2,3,3,3,3,4,2,5,1,5,2,3,3,3,4,5,4,3,4,5,3,3,4,2,5,3,3,5,5,3,3,1,1,2,2,2,3,3,1,High Risk
HS2026026,2.7075,2.83,0.8,0.8,0.89,0.55,0.93,1,No,Rarely,30-35 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,2,2,3,3,3,1,1,3,2,3,1,2,2,2,4,4,4,4,4,4,4,2,2,1,1,4,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,Moderate Risk
HS2026027,2.735,2.53,0.8,0.9,0.93,0.6,0.9,3,No,Rarely,27-29 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,2,2,3,3,3,2,2,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High Risk
HS2026028,3.4975,3.44,0.8,0.9,0.8,0.8,0.79,0,No,Rarely,21-23 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,4-5 hours,Very low risk,2,2,2,3,3,3,1,1,5,3,5,2,5,1,4,3,2,2,4,4,1,2,2,5,4,2,4,2,3,2,2,4,4,5,1,1,2,1,2,1,1,2,Low Risk
HS2026029,2.5025,2.53,0.8,0.92,0.8,0.86,0.67,2,No,Rarely,24-26 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Low risk,2,2,2,2,2,4,4,2,4,2,4,4,4,2,1,2,2,3,4,2,1,2,2,3,4,4,4,3,4,2,3,2,2,2,2,1,2,1,2,1,1,2,High Risk
HS2026030,2.9175,3.17,0.8,0.78,0.89,0.8,0.72,0,No,Almost never,27-29 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,4-5 hours,Low risk,3,2,3,2,3,4,2,3,2,4,2,1,3,4,2,1,2,1,2,1,2,3,2,3,2,4,2,1,4,3,3,3,3,2,1,1,2,2,1,2,2,1,Low Risk
HS2026031,2.4,2.11,0.8,0.7,0.93,0.95,0.69,2,No,Sometimes,27-29 years,Female,300,Nursing,Low income,Sometimes (monthly),Yes - 10-20 hours/week,2-3 hours,5-6 hours,Low risk,2,2,1,1,2,2,2,3,2,2,3,2,3,2,4,4,4,5,4,4,4,3,4,3,2,2,4,2,2,2,2,2,1,2,1,1,1,2,1,1,2,1,High Risk
