Finding,Value,Output_Type,Area,Interpretation
Training observations,658,Final Finding,,
Untouched test observations,114,Final Finding,,
Original predictors,58,Final Finding,,
SHAP-selected predictors,47,Final Finding,,
SP-XGBoost CV ROC-AUC,0.6182,Final Finding,,
SP-XGBoost test ROC-AUC,0.5616,Final Finding,,
SP-XGBoost test accuracy,0.6404,Final Finding,,
SP-XGBoost test precision,0.3214,Final Finding,,
SP-XGBoost test recall,0.2903,Final Finding,,
SP-XGBoost test F1,0.3051,Final Finding,,
Early-warning threshold,0.1,Final Finding,,
Early-warning recall,0.7419,Final Finding,,
Brier score,0.2641,Final Finding,,
Top SHAP predictor,GPA_S1,Final Finding,,
Top SHAP mean absolute value,0.97547704,Final Finding,,
Strongest SHAP interaction,CA_AVG × ATT_RATE,Final Finding,,
Strongest interaction value,0.05490474,Final Finding,,
Best baseline by CV ROC-AUC,Random Forest,Final Finding,,
Best baseline CV ROC-AUC,0.9223885710249348,Final Finding,,
Best baseline by test ROC-AUC,SVM,Final Finding,,
Best baseline test ROC-AUC,0.6369996113486203,Final Finding,,
SP-XGBoost generalization gap,0.056599999999999984,Final Finding,,
SHAP reduced the predictor space from 58 to 47 variables using the 95% cumulative importance criterion.,,Methodological Interpretation,Feature selection,The final SP-XGBoost model used a more compact predictor space while retaining the variables contributing most to global model explanations.
SP-XGBoost achieved CV ROC-AUC of 0.6182 and untouched-test ROC-AUC of 0.5616.,,Methodological Interpretation,Predictive performance,The test result indicates limited discriminative performance on the unseen evaluation data.
The CV-to-test ROC-AUC gap was 0.0566.,,Methodological Interpretation,Generalization,The difference between cross-validation and independent-test performance should be reported as evidence that model performance did not fully transfer to the untouched test set.
"At a probability threshold of 0.10, recall was 0.7419.",,Methodological Interpretation,Early warning,"The lower operational threshold favors identifying a larger proportion of at-risk students, but it should not be interpreted as evidence of high overall classification accuracy."
"The strongest global SHAP predictor was GPA_S1, with mean absolute SHAP of 0.9755.",,Methodological Interpretation,Explainability,This variable had the greatest average contribution to the model's prediction magnitude among the 47 selected predictors.
"The strongest SHAP interaction was CA_AVG × ATT_RATE, with mean absolute interaction strength of 0.0549.",,Methodological Interpretation,Feature interaction,The interaction analysis indicates that the contribution of these predictors can vary jointly rather than acting only as independent additive effects.
The strongest baseline by test ROC-AUC was SVM with ROC-AUC of 0.6370.,,Methodological Interpretation,Baseline comparison,The final comparison should therefore avoid claiming that SP-XGBoost was the best-performing predictive model. Its principal contribution is instead the SHAP-guided and explainable early-warning framework.
The final evaluation used 114 untouched test observations.,,Methodological Interpretation,Methodological integrity,"The test set was reserved for final evaluation and was not used for SHAP feature selection, model training, hyperparameter tuning, or threshold selection."
