Audit_Item,Result
Final results directory,C:\Users\HP\Documents\SP-XGBOOST\data\processed\Final_Results
Training observations,658
Untouched test observations,114
Original predictors,58
SHAP-selected predictors,47
SP-XGBoost CV ROC-AUC,0.6182
SP-XGBoost Test ROC-AUC,0.5616
Best baseline CV model,Random Forest
Best baseline CV ROC-AUC,0.9224
Best baseline test model,SVM
Best baseline test ROC-AUC,0.637
Early-warning threshold,0.1
Early-warning recall,0.7419
Top SHAP feature,GPA_S1
Strongest interaction,CA_AVG × ATT_RATE
Test leakage detected,NO
Model retrained in Cell 41,NO
