Metric,Final_Value
Training observations,658
Untouched test observations,114
Original predictors,58
SHAP-selected predictors,47
SP-XGBoost CV ROC-AUC,0.6182
SP-XGBoost Test ROC-AUC,0.5616
SP-XGBoost Accuracy,0.6404
SP-XGBoost Precision,0.3214
SP-XGBoost Recall,0.2903
SP-XGBoost F1-score,0.3051
Operational early-warning threshold,0.1
Early-warning recall,0.7419
Top SHAP predictor,GPA_S1
Top SHAP mean absolute value,0.9755
Strongest SHAP interaction,CA_AVG × ATT_RATE
Strongest interaction mean absolute value,0.0549
Best baseline by CV ROC-AUC,Random Forest
Best baseline CV ROC-AUC,0.9224
Best baseline by test ROC-AUC,SVM
Best baseline test ROC-AUC,0.637
