Predictor,Mean_Absolute_SHAP,SHAP_Proportion,Cumulative_SHAP
GPA_S1,0.97547704,0.10959463,0.10959463
CLIN_AVG,0.50901735,0.057187986,0.16678262
ATT_RATE,0.500025,0.056177694,0.22296031
Age_group,0.46922827,0.052717693,0.275678
Gender,0.4622043,0.051928554,0.32760656
Study_hrs_day,0.3254339,0.036562428,0.364169
Sleep_hrs,0.32285148,0.03627229,0.4004413
LAB_AVG,0.3171644,0.035633348,0.43607464
Adequate supervision,0.2629452,0.029541835,0.46561646
Takes rest breaks,0.24382494,0.027393678,0.49301013
