Model,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
Logistic Regression,1,0.8129017447199266,0.7045454545454546,0.7142857142857143,0.6818181818181818,0.6976744186046512
Logistic Regression,2,0.7892561983471075,0.7424242424242424,0.7051282051282052,0.8333333333333334,0.7638888888888888
Logistic Regression,3,0.8092286501377411,0.75,0.726027397260274,0.803030303030303,0.762589928057554
Logistic Regression,4,0.8027972027972028,0.7251908396946565,0.7419354838709677,0.696969696969697,0.71875
Logistic Regression,5,0.7365967365967365,0.7022900763358778,0.7096774193548387,0.676923076923077,0.6929133858267716
Random Forest,1,0.9055325987144168,0.8106060606060606,0.8727272727272727,0.7272727272727273,0.7933884297520661
Random Forest,2,0.9201101928374656,0.8636363636363636,0.8529411764705882,0.8787878787878788,0.8656716417910447
Random Forest,3,0.9207988980716253,0.8181818181818182,0.85,0.7727272727272727,0.8095238095238095
Random Forest,4,0.9517482517482517,0.8778625954198473,0.9166666666666666,0.8333333333333334,0.873015873015873
Random Forest,5,0.9137529137529139,0.8473282442748091,0.8688524590163934,0.8153846153846154,0.8412698412698413
SVM,1,0.921487603305785,0.8106060606060606,0.8867924528301887,0.7121212121212122,0.7899159663865546
SVM,2,0.9134527089072545,0.8712121212121212,0.8888888888888888,0.8484848484848485,0.8682170542635659
SVM,3,0.8953168044077136,0.8257575757575758,0.8412698412698413,0.803030303030303,0.8217054263565892
SVM,4,0.9277389277389277,0.8625954198473282,0.9444444444444444,0.7727272727272727,0.85
SVM,5,0.8825174825174825,0.8015267175572519,0.8305084745762712,0.7538461538461538,0.7903225806451613
