Category,Metric,Value
Cross-validation,ROC-AUC,0.6182
Cross-validation,Accuracy,0.6725
Cross-validation,Precision,0.403
Cross-validation,Recall,0.3489
Cross-validation,F1-score,0.3687
Untouched test,Accuracy,0.6404
Untouched test,Precision,0.3214
Untouched test,Recall,0.2903
Untouched test,F1-score,0.3051
Untouched test,ROC-AUC,0.5616
Early warning,Threshold,0.1
Early warning,Accuracy,0.4649
Early warning,Precision,0.3026
Early warning,Recall,0.7419
Early warning,F1-score,0.4299
Calibration,Brier Score,0.2641
Precision-Recall,PR-AUC,0.2841
Precision-Recall,Average Precision,0.2972
