Research_Component,Result
Cross-validated discrimination,0.6182
Independent test discrimination,0.5616
Test accuracy,0.6404
Test precision,0.3214
Test recall,0.2903
Test F1-score,0.3051
Early-warning threshold,0.1
Early-warning recall,0.7419
Early-warning F1-score,0.4299
Brier score,0.2641
PR-AUC,0.2841
Top SHAP feature,GPA_S1
Top SHAP mean absolute value,0.97547704
Strongest SHAP interaction,CA_AVG × ATT_RATE
Original predictors,58
SHAP-selected predictors,47
Training observations,658
Untouched test observations,114
