Rank,Feature,Mean_SHAP,Mean_Absolute_SHAP,Positive_SHAP_Count,Negative_SHAP_Count,Zero_SHAP_Count,Positive_SHAP_Proportion,Negative_SHAP_Proportion,Overall_Direction
1,GPA_S1,-0.06699009,0.97547704,409,249,0,0.621580547112462,0.378419452887538,Lower predicted At-Risk probability
2,CLIN_AVG,0.50901735,0.50901735,658,0,0,1.0,0.0,Higher predicted At-Risk probability
3,ATT_RATE,-0.500025,0.500025,0,658,0,0.0,1.0,Lower predicted At-Risk probability
4,Age_group,0.0032414708,0.46922827,282,376,0,0.42857142857142855,0.5714285714285714,Higher predicted At-Risk probability
5,Gender,-0.4622043,0.4622043,0,658,0,0.0,1.0,Lower predicted At-Risk probability
6,Study_hrs_day,-0.3254339,0.3254339,0,658,0,0.0,1.0,Lower predicted At-Risk probability
7,Sleep_hrs,0.06091398,0.32285148,391,267,0,0.5942249240121581,0.40577507598784196,Higher predicted At-Risk probability
8,LAB_AVG,-0.007414394,0.3171644,390,268,0,0.5927051671732523,0.4072948328267477,Lower predicted At-Risk probability
9,Adequate supervision,0.0033674727,0.2629452,279,379,0,0.42401215805471126,0.5759878419452887,Higher predicted At-Risk probability
10,Takes rest breaks,0.005842941,0.24382494,280,378,0,0.425531914893617,0.574468085106383,Higher predicted At-Risk probability
11,Programme prepares for career,0.11399665,0.24044874,519,139,0,0.7887537993920972,0.21124620060790272,Higher predicted At-Risk probability
12,Financial_diff,0.14909358,0.22154252,555,103,0,0.8434650455927052,0.15653495440729484,Higher predicted At-Risk probability
13,Concentration in self-study,0.028364584,0.20981386,281,377,0,0.4270516717325228,0.5729483282674772,Higher predicted At-Risk probability
14,Manages time effectively,-0.007443372,0.20255992,322,336,0,0.48936170212765956,0.5106382978723404,Lower predicted At-Risk probability
15,Self-motivates,0.0013415546,0.20073144,390,268,0,0.5927051671732523,0.4072948328267477,Higher predicted At-Risk probability
16,Physical health affected,-0.031859294,0.2007175,254,404,0,0.3860182370820669,0.6139817629179332,Lower predicted At-Risk probability
17,Hopeless/unmotivated,-0.0066773305,0.19547947,413,245,0,0.6276595744680851,0.3723404255319149,Lower predicted At-Risk probability
18,Self_risk_percep,-0.010547833,0.18367442,227,431,0,0.34498480243161095,0.6550151975683891,Lower predicted At-Risk probability
19,Health interferes studies,0.0060937656,0.1633421,437,221,0,0.6641337386018237,0.33586626139817627,Higher predicted At-Risk probability
20,Seeks help when stuck,-0.16253504,0.16256402,1,657,0,0.001519756838905775,0.9984802431610942,Lower predicted At-Risk probability
21,Sense of belonging,-0.03653881,0.16132149,177,481,0,0.2689969604863222,0.7310030395136778,Lower predicted At-Risk probability
22,Lecturers approachable,0.0007265498,0.15367463,475,183,0,0.7218844984802432,0.27811550151975684,Higher predicted At-Risk probability
23,Can improve performance,-0.15294763,0.15294763,0,658,0,0.0,1.0,Lower predicted At-Risk probability
24,EXAM_AVG,0.14244683,0.14244683,658,0,0,1.0,0.0,Higher predicted At-Risk probability
25,Employment_hrs,0.11311759,0.13051122,619,39,0,0.9407294832826748,0.05927051671732523,Higher predicted At-Risk probability
26,Clinical takes study time,0.014084183,0.13027875,474,184,0,0.7203647416413373,0.2796352583586626,Higher predicted At-Risk probability
27,Confident in clinical skills,-0.001417932,0.12680484,305,353,0,0.4635258358662614,0.5364741641337386,Lower predicted At-Risk probability
28,Peer study groups effective,-0.01021201,0.10772644,347,311,0,0.5273556231003039,0.4726443768996961,Lower predicted At-Risk probability
29,Sleep difficulty,-0.011405413,0.10235239,235,423,0,0.35714285714285715,0.6428571428571429,Lower predicted At-Risk probability
30,Rotations affect performance,-0.0048156646,0.09789384,188,470,0,0.2857142857142857,0.7142857142857143,Lower predicted At-Risk probability
31,Persists when difficult,-0.061004017,0.093044914,189,469,0,0.2872340425531915,0.7127659574468085,Lower predicted At-Risk probability
32,ASSIGN_LATE,-0.092108995,0.092108995,0,658,0,0.0,1.0,Lower predicted At-Risk probability
33,Understands content pre-exam,0.0096326005,0.091574065,300,358,0,0.45592705167173253,0.5440729483282675,Higher predicted At-Risk probability
34,Sleep affects concentration,-0.041735344,0.088729896,228,430,0,0.3465045592705167,0.6534954407294833,Lower predicted At-Risk probability
35,Confident to complete prog,-0.014749558,0.088585354,364,294,0,0.5531914893617021,0.44680851063829785,Lower predicted At-Risk probability
36,Completes readings,0.0022075577,0.085720964,340,318,0,0.5167173252279635,0.48328267477203646,Higher predicted At-Risk probability
37,Participates in clubs,-0.013737796,0.0834847,301,357,0,0.4574468085106383,0.5425531914893617,Lower predicted At-Risk probability
38,Anxious about assessments,0.014785667,0.08212387,553,105,0,0.8404255319148937,0.1595744680851064,Higher predicted At-Risk probability
39,Considered break,-0.0059891874,0.08080332,441,217,0,0.6702127659574468,0.32978723404255317,Lower predicted At-Risk probability
40,Takes organised notes,-0.07849216,0.07849216,0,658,0,0.0,1.0,Lower predicted At-Risk probability
41,Reviews notes within 24h,-0.0018477809,0.064647764,362,296,0,0.5501519756838906,0.44984802431610943,Lower predicted At-Risk probability
42,Prepared for clinical assess,-0.0014972946,0.05870226,309,349,0,0.4696048632218845,0.5303951367781155,Lower predicted At-Risk probability
43,Uses library regularly,-0.01135084,0.057505842,255,403,0,0.38753799392097266,0.6124620060790273,Lower predicted At-Risk probability
44,Burnt out,0.0015904583,0.056709807,456,202,0,0.6930091185410334,0.3069908814589666,Higher predicted At-Risk probability
45,CA_AVG,0.04486423,0.049219195,586,72,0,0.8905775075987842,0.1094224924012158,Higher predicted At-Risk probability
46,Regular exercise,-0.0062766154,0.046675064,279,379,0,0.42401215805471126,0.5759878419452887,Lower predicted At-Risk probability
47,Early intervention provided,0.0012660695,0.027641421,409,249,0,0.621580547112462,0.378419452887538,Higher predicted At-Risk probability
