Feature,Mean_Absolute_SHAP,SHAP_Proportion,Cumulative_SHAP
GPA_S1,0.97547704,0.10959463,0.10959463
CLIN_AVG,0.50901735,0.057187986,0.16678262
ATT_RATE,0.500025,0.056177694,0.22296031
Age_group,0.46922827,0.052717693,0.275678
Gender,0.4622043,0.051928554,0.32760656
Study_hrs_day,0.3254339,0.036562428,0.364169
Sleep_hrs,0.32285148,0.03627229,0.4004413
LAB_AVG,0.3171644,0.035633348,0.43607464
Adequate supervision,0.2629452,0.029541835,0.46561646
Takes rest breaks,0.24382494,0.027393678,0.49301013
Programme prepares for career,0.24044874,0.027014364,0.5200245
Financial_diff,0.22154252,0.024890253,0.5449147
Concentration in self-study,0.20981386,0.023572542,0.5684873
Manages time effectively,0.20255992,0.022757562,0.5912449
Self-motivates,0.20073144,0.022552133,0.613797
Physical health affected,0.2007175,0.022550566,0.6363476
Hopeless/unmotivated,0.19547947,0.021962075,0.65830964
Self_risk_percep,0.18367442,0.020635782,0.6789454
Health interferes studies,0.1633421,0.018351449,0.69729686
Seeks help when stuck,0.16256402,0.018264033,0.7155609
Sense of belonging,0.16132149,0.018124433,0.7336854
Lecturers approachable,0.15367463,0.01726531,0.7509507
Can improve performance,0.15294763,0.017183634,0.76813436
EXAM_AVG,0.14244683,0.01600387,0.7841382
Employment_hrs,0.13051122,0.014662907,0.7988011
Clinical takes study time,0.13027875,0.014636789,0.81343794
Confident in clinical skills,0.12680484,0.014246496,0.82768446
Peer study groups effective,0.10772644,0.012103042,0.8397875
Sleep difficulty,0.10235239,0.011499268,0.85128677
Rotations affect performance,0.09789384,0.0109983515,0.86228514
Persists when difficult,0.093044914,0.010453575,0.8727387
ASSIGN_LATE,0.092108995,0.010348425,0.88308716
Understands content pre-exam,0.091574065,0.010288326,0.89337546
Sleep affects concentration,0.088729896,0.009968785,0.9033442
Confident to complete prog,0.088585354,0.009952545,0.91329676
Completes readings,0.085720964,0.009630731,0.9229275
Participates in clubs,0.0834847,0.0093794875,0.932307
Anxious about assessments,0.08212387,0.009226599,0.9415336
Considered break,0.08080332,0.009078235,0.9506119
Takes organised notes,0.07849216,0.008818577,0.95943046
Reviews notes within 24h,0.064647764,0.007263162,0.96669364
Prepared for clinical assess,0.05870226,0.006595186,0.97328883
Uses library regularly,0.057505842,0.0064607686,0.9797496
Burnt out,0.056709807,0.006371334,0.98612094
CA_AVG,0.049219195,0.0055297655,0.9916507
Regular exercise,0.046675064,0.0052439333,0.99689466
Early intervention provided,0.027641421,0.0031055077,1.0000001
