Feature,Mean_Absolute_SHAP,SHAP_Proportion,Cumulative_SHAP
GPA_S1,1.1463184,0.16389242,0.16389242
Age_group,0.37346727,0.05339568,0.2172881
LAB_AVG,0.32365224,0.046273485,0.2635616
CLIN_AVG,0.25090736,0.03587294,0.29943454
Study_hrs_day,0.22406515,0.032035235,0.33146977
Sleep_hrs,0.20231615,0.028925717,0.3603955
Adequate supervision,0.19904703,0.028458321,0.38885382
Self-motivates,0.19553496,0.027956191,0.41681
Programme prepares for career,0.18594,0.026584372,0.44339436
Financial_diff,0.18171234,0.025979932,0.4693743
CA_AVG,0.17243686,0.02465379,0.4940281
Takes rest breaks,0.1675455,0.023954459,0.51798254
Concentration in self-study,0.16090292,0.02300475,0.5409873
Manages time effectively,0.15967467,0.022829143,0.5638164
Persists when difficult,0.14839906,0.021217037,0.5850335
Physical health affected,0.1480189,0.021162685,0.60619617
Lecturers approachable,0.14801472,0.021162087,0.62735826
Self_risk_percep,0.13003993,0.01859218,0.64595044
ATT_RATE,0.12698916,0.018156001,0.6641064
Sleep affects concentration,0.12612891,0.01803301,0.68213946
Peer study groups effective,0.1097218,0.015687238,0.6978267
Seeks help when stuck,0.10323925,0.01476041,0.7125871
EXAM_AVG,0.102604836,0.014669706,0.72725683
Hopeless/unmotivated,0.0971351,0.013887682,0.74114454
Sense of belonging,0.093714684,0.013398656,0.7545432
Gender,0.08751063,0.0125116445,0.76705486
Completes readings,0.081382684,0.011635515,0.7786904
Burnt out,0.078445904,0.011215635,0.789906
Clinical takes study time,0.07631691,0.010911246,0.80081725
Can improve performance,0.07502096,0.010725961,0.8115432
Health interferes studies,0.074703135,0.01068052,0.8222237
Employment_hrs,0.07344577,0.010500751,0.83272445
Takes organised notes,0.072161324,0.01031711,0.84304154
Early intervention provided,0.06963552,0.009955989,0.85299754
Participates in clubs,0.06883219,0.009841135,0.8628387
Confident in clinical skills,0.0658684,0.009417393,0.8722561
Anxious about assessments,0.06538771,0.009348668,0.8816048
Regular exercise,0.06381734,0.009124147,0.89072895
Confident to complete prog,0.061020833,0.008724323,0.8994533
Understands content pre-exam,0.05799131,0.008291183,0.90774447
Uses library regularly,0.053621408,0.0076664058,0.9154109
Prepared for clinical assess,0.05038446,0.0072036097,0.9226145
Considered break,0.05016969,0.007172904,0.9297874
Sleep difficulty,0.04990658,0.0071352865,0.93692267
Reviews notes within 24h,0.046859134,0.006699584,0.94362223
Rotations affect performance,0.041352164,0.005912237,0.9495345
ASSIGN_LATE,0.04050658,0.0057913414,0.95532584
Knows where to get help,0.03752209,0.00536464,0.9606905
Sets academic goals,0.036658905,0.0052412283,0.9659317
Emotionally supported,0.036217682,0.0051781456,0.97110987
Balanced diet,0.030365704,0.0043414715,0.97545135
Participates in class,0.029852878,0.0042681512,0.9797195
Concerns taken seriously,0.02914706,0.0041672383,0.9838868
Schedule conflicts,0.027589167,0.0039445017,0.9878313
Feels prepared,0.027118137,0.0038771576,0.99170846
Year_study,0.023689302,0.003386927,0.9950954
SES,0.022767106,0.003255078,0.99835044
Adequate advisory support,0.011538767,0.0016497305,1.0000001
