GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
1.48,0,1.0,0.77,4,1,1,2,1,1,0.95,4,1,1,2,3,1,1,0.89,4,2,1,0.89,5,1,0,1,2,3,1,3,0,1,3,4,1,3,3,1,1,1,2,5,2,1,4,0
2.69,1,0.9,0.69,4,3,3,4,4,2,0.66,2,2,1,2,5,4,1,0.9,5,2,1,1.0,4,2,1,5,2,4,4,5,0,3,3,1,5,4,2,4,2,5,2,3,1,5,1,0
2.05,3,0.89,0.89,3,2,2,3,1,2,0.68,3,3,5,2,3,4,2,0.9,2,3,3,0.85,4,1,0,2,3,1,3,4,2,2,2,3,3,2,1,2,1,2,2,5,1,2,1,1
1.89,1,0.98,0.91,5,3,1,2,5,2,0.87,3,3,4,4,3,3,1,0.79,5,3,1,0.6,5,2,0,2,3,5,2,3,0,3,3,1,1,3,5,5,4,3,2,2,1,2,3,2
2.95,4,0.94,0.7,3,5,2,1,3,2,0.79,4,2,2,2,3,3,2,0.9,2,2,2,1.0,3,1,1,3,1,3,3,2,0,5,5,2,1,3,1,2,2,2,3,2,3,4,1,1
2.18,1,0.91,0.81,1,3,2,4,2,2,0.77,2,3,3,3,3,1,1,0.7,4,3,4,0.79,3,5,1,5,2,2,3,2,2,2,2,4,2,5,3,2,4,3,4,4,5,3,4,0
2.63,3,0.83,0.69,2,1,1,2,2,1,0.93,2,1,3,1,5,2,3,0.7,1,1,2,0.9,3,4,0,2,1,2,4,2,0,1,1,2,2,4,2,1,1,3,2,2,1,2,3,2
2.52,1,0.89,0.9,5,1,4,5,2,1,0.55,4,4,3,1,3,3,2,0.79,3,4,3,0.7,1,1,0,5,3,2,1,5,1,2,2,3,4,4,4,3,5,2,2,5,3,3,4,1
2.93,1,0.7,0.93,2,0,3,3,2,2,0.79,5,1,3,3,1,3,3,0.78,2,1,4,0.69,4,3,0,3,4,2,3,1,1,4,4,4,2,3,2,3,3,3,3,1,2,1,5,2
3.06,2,1.0,0.7,2,2,1,2,5,4,0.79,2,4,5,1,1,2,1,0.78,3,4,3,0.82,3,3,0,4,1,5,2,4,0,4,4,3,3,4,2,2,4,1,3,5,5,3,3,0
2.7,1,0.92,0.79,2,3,5,3,2,1,0.66,1,1,1,2,2,4,1,0.7,4,1,5,0.7,3,2,0,1,3,2,2,5,0,4,4,5,2,3,2,3,2,3,3,2,2,2,4,1
1.6,2,0.82,0.84,3,1,1,1,3,1,0.69,1,3,4,5,3,2,1,0.8,5,3,3,0.55,5,4,0,1,2,3,3,2,0,5,5,3,3,3,3,3,2,5,4,2,5,4,4,1
2.54,1,0.99,0.7,5,3,2,3,5,2,0.79,4,3,2,4,2,2,3,0.7,4,3,2,1.0,2,4,0,4,1,5,3,3,2,5,5,2,5,3,3,3,1,2,3,5,5,3,1,1
3.39,1,0.86,1.0,1,2,5,3,2,2,0.57,3,1,2,3,4,4,1,0.9,2,1,4,0.99,2,3,0,4,2,2,1,4,0,2,2,4,3,1,2,2,3,4,3,4,2,2,4,1
3.02,1,0.98,1.0,2,2,3,3,3,2,0.79,2,4,3,3,3,3,3,0.7,3,4,3,0.69,1,4,1,3,3,3,1,3,0,2,2,3,4,4,2,2,3,3,3,3,2,2,2,2
2.55,2,0.9,1.0,4,3,3,2,2,1,0.99,5,1,5,2,3,4,1,0.91,2,1,4,0.87,1,3,1,4,1,2,4,2,1,3,3,4,1,3,3,3,3,4,1,3,1,3,2,1
2.32,0,0.86,0.87,2,5,2,4,2,0,0.6,3,1,5,3,4,2,1,0.7,3,1,2,0.9,5,2,1,4,1,2,2,3,0,2,2,2,2,3,3,1,5,2,5,1,4,3,2,1
2.5,0,0.95,0.96,0,3,3,4,2,2,0.59,1,2,1,2,2,1,2,1.0,4,2,3,0.7,4,3,0,3,4,2,3,5,0,1,1,3,2,4,3,5,2,2,4,4,2,4,3,1
2.89,4,0.8,0.7,5,1,4,1,2,1,0.69,1,3,1,4,4,2,1,0.84,4,3,3,0.79,2,4,0,3,4,2,2,2,0,2,2,3,2,5,4,3,3,1,1,2,2,2,4,0
2.02,1,0.96,0.9,2,1,3,5,4,2,1.0,3,1,1,2,1,2,0,0.78,2,1,3,0.7,2,4,1,1,3,4,4,4,0,1,1,3,3,3,1,4,2,3,3,4,1,5,4,2
2.81,0,0.97,0.9,3,1,4,2,2,0,0.91,1,3,4,5,5,3,1,0.6,4,3,4,0.91,3,2,0,1,5,2,1,2,1,5,5,4,4,5,1,1,4,1,2,3,4,3,2,0
2.09,4,0.94,0.69,2,3,3,3,4,4,0.7,2,4,3,5,4,1,2,0.89,1,4,1,0.79,1,5,0,3,3,4,5,3,0,3,3,1,2,2,3,4,3,5,2,2,4,4,1,1
3.44,3,0.88,0.7,3,1,5,5,2,4,0.79,4,3,2,3,2,1,2,0.7,3,3,4,0.7,1,3,0,3,2,2,1,4,1,2,2,4,1,3,3,2,1,5,5,4,2,5,3,2
2.4,1,0.92,0.93,4,1,2,3,1,2,0.75,2,3,4,3,3,3,2,0.78,2,3,1,0.59,4,3,1,4,5,3,3,3,1,2,2,5,4,3,3,4,2,5,2,2,2,3,3,1
1.33,3,0.89,0.89,2,3,3,2,4,4,0.6,4,1,3,1,4,2,1,0.77,1,1,3,0.93,4,1,1,5,4,4,5,2,0,5,5,3,4,2,1,2,3,4,2,2,2,3,3,0
2.69,1,0.88,0.9,3,5,5,4,2,1,0.78,2,5,3,4,2,3,2,0.89,4,5,1,0.7,2,3,0,2,2,2,5,1,0,4,4,1,2,1,5,5,4,3,2,4,4,3,3,1
2.46,1,0.84,0.55,4,5,4,2,3,0,0.69,3,1,3,5,5,1,2,0.78,4,1,4,0.88,1,5,1,4,3,3,4,3,0,5,5,4,2,3,4,5,4,2,3,5,4,3,3,2
2.17,0,0.88,0.69,2,2,2,1,2,2,0.63,2,3,1,1,4,1,1,0.59,2,1,2,0.69,5,3,1,3,4,2,2,5,0,4,3,2,2,5,3,2,1,2,3,5,5,2,2,1
3.0,4,0.89,0.6,4,1,2,2,1,0,0.8,3,2,2,2,4,2,0,1.0,5,2,2,0.79,4,1,1,2,4,3,2,3,2,2,3,3,2,4,1,2,2,2,2,4,4,2,2,1
3.0,2,0.67,0.88,3,2,1,2,5,1,0.78,1,4,5,4,4,5,1,0.6,3,4,3,0.7,4,4,1,4,2,5,3,5,4,4,4,3,5,3,4,1,4,3,4,1,3,1,5,1
2.43,1,1.0,0.6,4,2,5,3,2,1,0.8,3,1,2,2,4,2,0,0.7,5,1,1,1.0,3,4,1,1,4,2,1,3,0,4,4,1,4,4,3,4,4,4,2,3,2,3,3,1
2.36,1,0.98,0.99,2,1,4,3,1,1,0.69,3,1,3,4,3,4,2,0.92,3,1,5,0.78,2,3,0,2,5,1,2,2,0,1,1,5,1,1,2,3,1,1,4,3,1,1,3,0
3.33,3,0.77,0.64,2,2,2,3,1,0,0.6,5,3,3,2,2,2,3,0.79,2,2,5,0.64,2,5,0,4,4,5,4,4,1,3,4,5,2,2,5,2,5,3,4,1,5,5,5,2
3.13,1,0.65,0.92,3,2,2,2,1,3,0.76,2,2,1,2,5,4,2,0.8,5,4,4,0.92,4,4,1,2,4,5,2,2,0,2,5,4,2,4,3,2,4,1,4,4,5,5,5,0
3.6,2,0.88,0.79,2,5,4,3,4,0,0.77,3,4,4,2,4,4,1,0.78,3,4,3,0.65,2,1,0,2,1,4,5,3,1,4,4,3,2,3,2,3,3,3,3,1,2,2,5,2
2.09,1,0.79,0.7,3,1,2,1,4,0,0.77,4,3,5,4,4,3,2,0.9,5,3,2,0.87,2,2,0,1,1,4,4,2,0,4,4,2,1,3,3,4,3,1,5,4,2,3,3,0
2.96,4,0.92,0.78,2,2,4,3,4,0,0.5,2,2,3,4,1,4,1,1.0,5,2,2,0.9,3,2,0,5,2,4,2,5,0,3,3,2,3,3,4,1,3,5,4,2,5,2,3,2
3.55,4,0.93,0.77,4,5,3,3,3,1,0.7,2,2,3,4,3,2,2,0.6,4,2,3,0.99,5,5,0,1,4,3,1,3,4,1,1,3,2,3,3,4,1,3,2,5,3,1,3,1
2.74,1,0.88,0.77,1,5,2,3,1,1,0.69,2,3,5,3,2,3,3,0.78,1,3,3,0.79,2,4,0,2,2,1,1,4,4,4,4,3,3,3,3,5,4,1,2,5,1,2,5,1
1.69,3,0.94,0.93,3,3,4,3,2,0,0.69,3,2,2,4,2,2,2,0.9,1,2,3,0.99,3,2,1,4,2,2,3,2,0,2,2,3,4,3,2,1,3,3,2,2,5,3,4,1
3.63,0,0.93,0.69,2,1,3,5,1,0,1.0,4,1,1,2,2,4,2,0.85,2,1,4,0.99,3,2,0,1,1,1,2,3,0,5,5,4,2,5,1,2,5,1,5,5,2,3,4,2
2.85,2,0.85,1.0,4,3,3,3,3,1,0.9,5,2,2,2,1,2,1,1.0,3,2,2,0.69,2,3,0,4,4,3,3,5,0,1,1,2,2,3,3,2,2,3,1,3,3,4,3,2
2.91,2,0.83,1.0,5,5,1,4,1,0,0.6,3,4,2,3,1,2,1,0.9,3,4,2,0.91,2,1,0,1,4,1,1,3,0,1,1,2,3,3,4,5,3,2,1,2,3,4,3,1
1.98,1,0.87,1.0,4,1,1,3,1,4,0.96,5,5,1,5,3,4,2,0.79,3,5,4,0.87,2,4,0,1,4,1,5,5,2,1,1,4,2,1,3,3,3,5,4,1,4,1,5,1
3.69,1,1.0,1.0,3,5,4,4,1,0,0.6,5,3,5,3,2,4,3,0.69,3,3,2,0.79,2,1,0,1,4,1,2,5,0,4,4,2,2,1,2,1,1,3,1,3,3,3,1,2
3.07,2,0.97,0.79,4,0,2,2,3,1,0.7,3,2,2,2,2,2,2,0.79,2,3,2,0.55,2,3,1,2,3,3,1,3,0,2,2,3,2,3,2,1,2,2,2,3,3,2,3,2
2.8,1,0.89,0.9,0,0,5,5,3,4,1.0,3,1,5,1,3,2,3,0.89,5,1,3,0.7,4,4,1,2,2,3,3,5,1,1,1,3,3,5,1,3,3,3,3,3,5,1,2,1
1.9,2,0.91,0.6,2,3,1,2,2,0,0.89,1,2,5,4,2,1,1,0.7,3,2,2,0.96,3,5,0,4,2,2,1,4,0,5,5,2,4,3,2,1,3,1,1,2,3,3,2,1
3.35,3,0.84,0.79,2,3,4,3,4,3,0.91,2,5,3,3,3,2,2,0.67,3,5,3,0.8,3,4,1,4,2,4,3,2,4,2,2,3,3,3,2,3,4,3,1,2,2,5,3,2
