,GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
GPA_S1,0.0,0.017014489,0.022448467,0.036457174,0.008609393,0.029506268,0.015120965,0.017874941,0.0078001814,0.01908059,0.016379362,0.016217008,0.017164458,0.018154237,0.01615159,0.0100672925,0.0030140984,0.0070537794,0.02066936,0.007960611,0.004761778,0.027417088,0.02999202,0.0042673894,0.010832563,0.012214807,0.0010873448,0.0020701748,0.0066982177,0.030187532,0.005306439,0.0038918513,0.008305754,0.0064537823,0.009848552,0.0064992653,0.006388875,0.0023467175,0.0033992373,0.022126855,0.011215928,0.003971205,0.009332858,0.040012684,0.0036172064,0.002684839,0.0
Age_group,0.017014489,0.0,0.0061243623,0.0436586,0.0,0.005388067,0.008432769,0.01430707,0.007465188,0.0037443116,0.0045592673,0.005697747,0.002485076,0.0,0.008995457,0.0053214887,0.021193996,0.009380759,0.0059698354,0.0036210956,0.006231072,0.0032325527,0.022673968,0.021353083,0.0037342922,0.010398295,0.0035193525,0.0,0.004764032,0.0019899043,0.0043364456,0.0124668535,0.0072294334,0.0028530282,0.0059626387,0.0,0.0018495291,0.0,0.0027483597,0.0,0.0030177182,0.001644227,0.0051999995,0.0022259755,0.0026644184,0.011183489,0.0
LAB_AVG,0.022448467,0.0061243623,0.0,0.010534035,0.004236944,0.016918182,0.008051814,0.009156764,0.0012733863,0.0050815484,0.01573915,0.0055544255,0.0033464718,0.010447619,0.022904256,0.0036942824,0.0041863904,0.00219496,0.018922567,0.009950159,0.0048704403,0.004323944,0.039352853,0.005145729,0.014346537,0.0021227882,0.017734643,0.0026814037,0.010048922,0.0018030414,0.0023327242,0.001105452,0.019556776,0.0079557,0.001443021,0.005386242,0.006679846,0.0067031765,0.0013542129,0.002483565,0.0037502078,0.0031095354,0.005739162,0.007616779,0.0018371542,0.0,0.0013869851
CLIN_AVG,0.036457174,0.0436586,0.010534035,0.0,0.005367304,0.008349019,0.0045078276,0.0049848254,0.0038289952,0.0049667265,0.016055014,0.020857865,0.0028180794,0.00340306,0.022374606,0.0067018853,0.0040877033,0.008761243,0.011228164,0.009820259,0.0066573923,0.0056648515,0.013773626,0.008781424,0.0020948763,0.004189486,0.009174643,0.0019166574,0.0020678083,0.0015552673,0.0045572156,0.0014943208,0.004705721,0.007980913,0.007787805,0.009107932,0.0029250132,0.0059581636,0.0017722389,0.0015154661,0.0,0.0047907904,0.009333124,0.009733871,0.0013217784,0.0016472972,0.0
Study_hrs_day,0.008609393,0.0,0.004236944,0.005367304,0.0,0.0059498996,0.005684417,0.0047708424,0.0016275693,0.0037697786,0.0118482625,0.0047122194,0.0055295224,0.016105277,0.0010101211,0.0030283425,0.0,0.0,0.008612944,0.006397903,0.0031126235,0.0034048054,0.009569717,0.015283506,0.01860475,0.0,0.0,0.0020209255,0.003639472,0.0034388537,0.0,0.0,0.0,0.0014393964,0.0018630471,0.012173628,0.003583351,0.0,0.0,0.003725324,0.0012686935,0.004975056,0.0040273005,0.0,0.00215315,0.0034440432,0.0
Sleep_hrs,0.029506268,0.005388067,0.016918182,0.008349019,0.0059498996,0.0,0.0019963558,0.0,0.0068004187,0.011829087,0.00399343,0.004740005,0.01731298,0.0,0.006481036,0.014524241,0.0071132923,0.004467305,0.0031313826,0.01753458,0.0013163176,0.014127775,0.02391977,0.0012740758,0.0066866637,0.0038048597,0.0,0.0014245172,0.0014571568,0.005839402,0.0019546445,0.0019974692,0.0,0.0,0.0,0.0,0.0,0.0017019644,0.0040395116,0.005623691,0.0074908603,0.0,0.0,0.0,0.0046455488,0.0016999772,0.0031465658
Adequate supervision,0.015120965,0.008432769,0.008051814,0.0045078276,0.005684417,0.0019963558,0.0,0.0032801942,0.003018293,0.0015885412,0.0020678793,0.00789953,0.0013698465,0.0036244718,0.0096229855,0.004577896,0.006212354,0.002976205,0.015800616,0.00658108,0.0014328558,0.005517315,0.0033605625,0.008207471,0.000894212,0.0077111265,0.0,0.0022907008,0.001417485,0.0010735724,0.00064746814,0.0012710635,0.012045354,0.0016103663,0.0,0.0024575149,0.0028746554,0.00083642954,0.0062695476,0.0012928314,0.004606708,0.0031393832,0.0009293926,0.0055817585,0.0,0.0,0.0
Self-motivates,0.017874941,0.01430707,0.009156764,0.0049848254,0.0047708424,0.0,0.0032801942,0.0,0.011939547,0.0033187838,0.00878053,0.0009822878,0.0016621096,0.0010682254,0.0067384546,0.0057132924,0.004254042,0.0016918854,0.005049953,0.0007963052,0.0,0.0009226859,0.0127650825,0.0030026466,0.0019852594,0.0,0.0,0.0009738747,0.0037464665,0.0014332054,0.0012788299,0.0,0.001838477,0.005813176,0.004176862,0.0,0.0,0.0032218199,0.003471719,0.0,0.002949555,0.0,0.0,0.0,0.0114440285,0.0017199995,0.0
Programme prepares for career,0.0078001814,0.007465188,0.0012733863,0.0038289952,0.0016275693,0.0068004187,0.003018293,0.011939547,0.0,0.008546053,0.002690173,0.0,0.01597885,0.0048923907,0.00816202,0.011627129,0.0042256853,0.005100142,0.0029998638,0.0031174899,0.005801795,0.0,0.0026446776,0.0035250676,0.008016317,0.0,0.0,0.015530719,0.0,0.0069685476,0.0009906229,0.0019864829,0.0,0.0,0.0049208733,0.0,0.017774513,0.0013913999,0.0,0.0040589967,0.0,0.0,0.009534073,0.0,0.0,0.0045717494,0.0017115822
Financial_diff,0.01908059,0.0037443116,0.0050815484,0.0049667265,0.0037697786,0.011829087,0.0015885412,0.0033187838,0.008546053,0.0,0.0095175635,0.0025049946,0.0026135712,0.0015896923,0.0014463438,0.0030247367,0.0019238066,0.011822118,0.0045997184,0.0035817286,0.0012157657,0.0024311873,0.0028745541,0.010223005,0.011763023,0.0,0.0022731782,0.0035454966,0.0049988367,0.0,0.0,0.0025518732,0.002465205,0.002803991,0.0013644764,0.0019373968,0.004369988,0.005548171,0.004948821,0.002887195,0.0017204343,0.0,0.0010381861,0.0,0.008244809,0.0,0.0
