Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
1,CA_AVG,ATT_RATE,0.05490474
2,Age_group,CLIN_AVG,0.0436586
3,GPA_S1,Sleep difficulty,0.040012684
4,LAB_AVG,EXAM_AVG,0.039352853
5,GPA_S1,CLIN_AVG,0.036457174
6,ATT_RATE,Employment_hrs,0.03615981
7,GPA_S1,Can improve performance,0.030187532
8,GPA_S1,EXAM_AVG,0.02999202
9,GPA_S1,Sleep_hrs,0.029506268
10,CA_AVG,Seeks help when stuck,0.02862271
11,GPA_S1,Seeks help when stuck,0.027417088
12,Manages time effectively,Physical health affected,0.026257493
13,ATT_RATE,Hopeless/unmotivated,0.02563076
14,Sleep_hrs,EXAM_AVG,0.02391977
15,LAB_AVG,Persists when difficult,0.022904256
16,Age_group,EXAM_AVG,0.022673968
17,CA_AVG,Peer study groups effective,0.022528991
18,GPA_S1,LAB_AVG,0.022448467
19,CLIN_AVG,Persists when difficult,0.022374606
20,GPA_S1,Understands content pre-exam,0.022126855
21,Takes rest breaks,Health interferes studies,0.021923257
22,Self_risk_percep,EXAM_AVG,0.021622278
23,Age_group,Hopeless/unmotivated,0.021353083
24,Age_group,Lecturers approachable,0.021193996
25,CLIN_AVG,Takes rest breaks,0.020857865
26,GPA_S1,ATT_RATE,0.02066936
27,Persists when difficult,Understands content pre-exam,0.020355767
28,LAB_AVG,Takes organised notes,0.019556776
29,ATT_RATE,Burnt out,0.019383835
30,CA_AVG,Concentration in self-study,0.019261234
31,GPA_S1,Financial_diff,0.01908059
32,LAB_AVG,ATT_RATE,0.018922567
33,Sleep affects concentration,EXAM_AVG,0.018723879
34,Study_hrs_day,Sense of belonging,0.01860475
35,GPA_S1,Manages time effectively,0.018154237
36,GPA_S1,Self-motivates,0.017874941
37,Programme prepares for career,Anxious about assessments,0.017774513
38,LAB_AVG,Completes readings,0.017734643
39,Sleep_hrs,Sleep affects concentration,0.01753458
40,Sleep_hrs,Concentration in self-study,0.01731298
41,GPA_S1,Concentration in self-study,0.017164458
42,GPA_S1,Age_group,0.017014489
43,LAB_AVG,Sleep_hrs,0.016918182
44,Peer study groups effective,Clinical takes study time,0.016479371
45,CA_AVG,Self_risk_percep,0.016384473
46,GPA_S1,CA_AVG,0.016379362
47,GPA_S1,Takes rest breaks,0.016217008
48,Self_risk_percep,ATT_RATE,0.016195396
49,GPA_S1,Persists when difficult,0.01615159
50,Study_hrs_day,Manages time effectively,0.016105277
51,CLIN_AVG,CA_AVG,0.016055014
52,Concentration in self-study,Sense of belonging,0.01605343
53,Programme prepares for career,Concentration in self-study,0.01597885
54,Adequate supervision,ATT_RATE,0.015800616
55,LAB_AVG,CA_AVG,0.01573915
56,Programme prepares for career,Burnt out,0.015530719
