Rank,Feature,Total_Interaction_Strength
1,GPA_S1,0.58167523
2,ATT_RATE,0.3751975
3,CA_AVG,0.3731906
4,LAB_AVG,0.36163664
5,CLIN_AVG,0.3592701
6,EXAM_AVG,0.33805436
7,Age_group,0.31463826
8,Sleep_hrs,0.2581863
9,Takes rest breaks,0.21980318
10,Hopeless/unmotivated,0.20608324
11,Seeks help when stuck,0.20326933
12,Programme prepares for career,0.20052078
13,Concentration in self-study,0.19857372
14,Persists when difficult,0.19570933
15,Study_hrs_day,0.19498838
16,Self_risk_percep,0.19071388
17,Physical health affected,0.18931447
18,Manages time effectively,0.18796444
19,Adequate supervision,0.1878818
20,Sense of belonging,0.18576081
21,Financial_diff,0.1837553
22,Sleep affects concentration,0.16875999
23,Self-motivates,0.16711374
24,Clinical takes study time,0.15543187
25,Peer study groups effective,0.1504017
26,Understands content pre-exam,0.14572579
27,Lecturers approachable,0.13816316
28,Can improve performance,0.13212003
29,Employment_hrs,0.12615778
30,Sleep difficulty,0.12586029
31,Early intervention provided,0.12531553
32,Health interferes studies,0.11921594
33,Regular exercise,0.11671603
34,Participates in clubs,0.11426093
35,Reviews notes within 24h,0.10763579
36,Burnt out,0.10744912
37,Anxious about assessments,0.09984277
38,Completes readings,0.093024686
39,Gender,0.090988375
40,Confident to complete prog,0.08886306
41,Rotations affect performance,0.08540161
42,Prepared for clinical assess,0.082528695
43,Uses library regularly,0.078239016
44,Considered break,0.07666521
45,Takes organised notes,0.07264032
46,Confident in clinical skills,0.06976121
47,ASSIGN_LATE,0.022596851
