Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
1,CA_AVG,ATT_RATE,0.05490474
2,Age_group,CLIN_AVG,0.0436586
3,GPA_S1,Sleep difficulty,0.040012684
4,LAB_AVG,EXAM_AVG,0.039352853
5,GPA_S1,CLIN_AVG,0.036457174
6,ATT_RATE,Employment_hrs,0.03615981
7,GPA_S1,Can improve performance,0.030187532
8,GPA_S1,EXAM_AVG,0.02999202
9,GPA_S1,Sleep_hrs,0.029506268
10,CA_AVG,Seeks help when stuck,0.02862271
11,GPA_S1,Seeks help when stuck,0.027417088
12,Manages time effectively,Physical health affected,0.026257493
13,ATT_RATE,Hopeless/unmotivated,0.02563076
14,Sleep_hrs,EXAM_AVG,0.02391977
15,LAB_AVG,Persists when difficult,0.022904256
16,Age_group,EXAM_AVG,0.022673968
17,CA_AVG,Peer study groups effective,0.022528991
18,GPA_S1,LAB_AVG,0.022448467
19,CLIN_AVG,Persists when difficult,0.022374606
20,GPA_S1,Understands content pre-exam,0.022126855
