GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
1.5661371,-0.46312308,-0.62338126,0.516272,-0.29205632,0.30108428,0.61598873,0.22587281,-0.34503222,0.15950678,0.072526194,-0.22253858,0.06101788,0.29263866,0.14163224,-0.17177354,0.09907805,-0.21002331,-0.57682604,-0.13756205,0.11564318,-0.27681366,0.15712743,0.10056197,-0.28458095,-0.44104984,0.12410593,0.08852782,0.077189684,-0.14975554,0.10855517,0.12016813,-0.1248044,0.014995845,-0.13613193,0.043550916,0.0055293683,-0.033842504,-0.141004,0.14547595,0.09496745,-0.01067624,-0.21371393,0.110787496,-0.09693452,0.15830988,-0.041761473
0.13421068,0.47449923,-0.2085566,0.49029636,-0.28010854,-0.28341198,-0.08583794,-0.42153305,0.19584255,0.25082186,0.086206116,0.16833133,0.3357179,0.21424809,-0.12758854,-0.31302255,-0.35584623,-0.23978308,-0.62947184,-0.03320705,0.10521186,-0.25602317,0.08416517,0.055009767,0.22967894,-0.4476132,-0.16861513,0.066773295,-0.28748965,-0.12809783,-0.46690524,0.11182176,-0.05450857,0.01993843,0.08472501,-0.07463801,0.11002369,0.0064875763,0.10719001,0.13920653,0.03620194,-0.04258414,0.03335061,-0.024645748,0.040434938,-0.112562574,-0.09564722
1.1473187,-0.43495357,-0.032787688,0.456886,-0.32773954,0.3304299,0.04326881,0.0977349,-0.30359888,0.23306665,0.010864685,-0.1760157,-0.08756551,-0.31454164,-0.03418894,-0.17248622,-0.34792858,0.017594889,-0.59989613,-0.0970257,-0.19035901,-0.16456217,0.19678648,0.09105182,-0.24121715,-0.43890467,0.10701479,0.004935257,0.031410735,-0.05964507,-0.14192756,0.14047508,-0.12588151,0.041441202,-0.09393056,-0.13176343,0.04387698,0.066568375,-0.012590103,0.09102733,0.046072297,-0.0017932875,-0.18810329,-0.027423045,-0.08750456,-0.09067695,-0.074286364
1.0099767,0.5155626,-0.64235014,0.52955556,-0.26260552,-0.24899527,0.6213938,0.2562731,-0.05303974,0.24022424,0.056956686,-0.22203225,-0.092835054,-0.25767335,-0.13238989,-0.11669393,0.040965453,-0.2498835,-0.56675214,-0.04679261,-0.17685978,-0.2055905,0.174302,0.025663413,0.2053714,-0.5082597,0.13504565,0.03104942,-0.24285327,-0.21832356,0.11932038,0.12866835,-0.11327648,0.020514475,0.113087736,0.10703489,-0.008354626,-0.07319832,0.08554544,-0.1264568,-0.12770876,-0.051490467,0.074098274,0.009182618,-0.11836999,-0.055682473,-0.10657913
-1.1425831,-0.36469865,-0.31667885,0.57103217,-0.29467928,-0.41330126,0.038559336,-0.1342275,0.30880043,0.27736646,0.017853545,-0.25681007,0.36075747,0.21157384,-0.06596105,-0.112424985,0.05339241,-0.019907815,-0.45579004,0.06295614,0.106430985,-0.14760329,0.15861036,0.24762866,-0.22038145,-0.42160755,-0.051315587,0.04390926,0.082030766,-0.13978924,0.11005491,0.10609424,-0.050849475,-0.1182509,0.047855437,0.05650347,0.007599247,0.04497344,-0.042057484,0.1323016,-0.023834463,0.09259356,0.083712384,-0.07770361,0.008601126,-0.06957219,-0.10258566
0.74067676,0.547675,-0.15848307,0.41768378,-0.3025678,-0.27415386,0.016169827,-0.40834078,0.25558615,0.29943597,0.100959376,0.35228914,-0.06726176,-0.18556556,-0.045237906,-0.108027495,0.12943587,-0.22225778,-0.48738444,-0.1574294,-0.17367287,-0.18707709,0.10525134,0.23252486,-0.093743004,-0.48760986,-0.19768415,0.06152024,0.13439071,-0.24231954,0.09796624,0.1391792,-0.080480695,0.032762863,-0.13509731,0.16168866,0.074038506,-0.033414796,0.023965666,-0.11917713,-0.12733959,0.0130843865,-0.13361388,-0.1267984,0.07811587,0.23617592,-0.11207158
0.09679783,-0.49240488,0.50073975,0.5320847,-0.3931575,0.32491836,0.62662613,0.2699954,0.3292504,0.18733332,0.0069945147,0.25073797,0.015664801,-0.105673686,0.070284426,-0.2662436,0.14186573,0.49474546,-0.52271485,-0.08014216,0.08257132,-0.13935162,0.10601529,0.21749844,-0.08746324,-0.49234915,0.074956015,0.07096495,0.13627353,-0.13239191,0.13683492,0.12639649,-0.08625336,-0.060071334,0.06045621,0.15551686,0.11263409,0.04965678,-0.22352646,0.12560908,-0.06784819,-0.020869695,0.04037236,-0.011422468,-0.07933925,-0.0396316,-0.09194358
0.54603195,0.57736355,-0.073318206,0.40988854,-0.37008345,0.27637687,-0.34939656,-0.40281343,0.20951703,0.16432782,0.08168522,-0.28180894,-0.22913927,-0.19336647,-0.15559451,-0.060085636,-0.012258348,0.02010478,-0.5580829,-0.088419855,-0.073047966,-0.18236934,0.169191,-0.3284299,-0.22944477,-0.48707154,-0.16069168,-0.020857729,0.090681516,-0.20034568,-0.41769695,0.16260603,-0.050324928,0.011025248,-0.08564539,-0.068502076,0.0483274,-0.03174399,-0.035754353,-0.15050626,0.03847841,-0.017913047,-0.20523542,-0.0645539,0.055906735,0.16862155,-0.08379935
-0.6137497,0.5607574,0.10358779,0.55315727,-0.3654514,0.3037287,-0.04862973,0.07725816,0.32783476,0.27187464,0.06154011,-0.2573324,0.025493544,-0.1052705,-0.11536364,0.24488322,0.041342065,0.47259212,-0.43428245,0.06391835,0.060120422,-0.11962033,0.15160565,0.026193386,-0.023295226,-0.51930594,-0.010548469,-0.119930655,0.12588464,-0.175886,0.13656346,0.1323873,-0.06776057,0.011192506,-0.10392391,0.21108885,0.021430738,0.04967183,0.08134119,-0.03457533,-0.047861107,0.10665552,0.06184391,0.2313935,-0.03543853,0.10398219,-0.09536892
-1.8292066,-0.2912924,-0.84913045,0.5224393,-0.36426273,0.3349956,0.6374939,0.291215,0.049724318,-0.16423096,0.017523466,0.2944188,-0.07451426,-0.2547572,-0.05967676,0.10574615,0.11539628,-0.22510509,-0.42168027,0.085238606,-0.015502752,-0.11511919,0.11429394,0.22844358,-0.0836312,-0.32883972,-0.2081359,0.037020784,-0.17993683,-0.14824872,-0.13687262,0.13206129,-0.06011093,-0.01954227,-0.0877523,-0.17176783,0.12601693,0.08032472,-0.049022995,-0.09491545,0.003551498,0.09926189,-0.15253137,-0.11327325,0.05258829,-0.04759149,-0.077629425
