Analysis,Result
SP-XGBoost,ROC-AUC = 0.5616
Best baseline model,SVM (ROC-AUC = 0.6370)
Early-warning threshold,0.1
Early-warning recall,0.7419354838709677
Early-warning specificity,0.3614457831325301
Early-warning precision,0.3026315789473684
Early-warning F1,0.4299065420560747
Early-warning balanced accuracy,0.551690633501749
Number of training observations,658
Number of untouched test observations,114
Original predictor count,58
SHAP-selected predictor count,47
Top SHAP predictor,GPA_S1
Strongest SHAP interaction,CA_AVG × ATT_RATE
