GPA_S1,Hopeless/unmotivated,Sleep_hrs,LAB_AVG,Programme prepares for career,Concentration in self-study,Adequate supervision,CA_AVG,Financial_diff,Employment_hrs,Can improve performance,Self-motivates,Sense of belonging,Manages time effectively,Early intervention provided,Persists when difficult,Peer study groups effective,Anxious about assessments,Takes rest breaks,Seeks help when stuck,Regular exercise,Participates in class,Considered break,Age_group,Understands content pre-exam,CLIN_AVG,Takes organised notes,Physical health affected,ATT_RATE,Lecturers approachable,Sets academic goals,Study_hrs_day,Completes readings,EXAM_AVG,Confident in clinical skills,Prepared for clinical assess,Rotations affect performance,Self_risk_percep,Schedule conflicts,Gender,Sleep difficulty,Year_study,ASSIGN_LATE,Health interferes studies,Sleep affects concentration,Feels prepared,Emotionally supported
1.48,5,1,1.0,1,1,1,0.95,1,0,1,2,1,1,3,2,2,3,4,1,3,1,5,0,1,0.77,1,3,0.89,1,1,4,1,0.89,1,2,4,1,3,0,2,200,0,3,4,3,1
2.69,4,3,0.9,4,2,3,0.66,2,0,4,4,2,1,3,2,2,4,2,1,2,1,3,1,2,0.69,3,5,0.9,4,2,4,5,1.0,5,2,1,1,3,1,1,300,0,5,5,5,2
2.05,4,2,0.89,1,3,2,0.68,2,2,3,3,1,5,2,2,3,2,3,3,1,4,5,3,1,0.89,2,3,0.9,4,1,3,2,0.85,3,2,1,2,2,0,1,300,1,4,2,2,5
1.89,5,3,0.98,5,3,1,0.87,2,0,2,2,2,4,3,4,3,3,3,1,5,2,2,1,4,0.91,3,3,0.79,3,2,5,2,0.6,1,2,3,1,4,0,1,300,2,3,5,2,2
2.95,3,5,0.94,3,2,2,0.79,2,0,3,1,1,2,5,2,2,3,4,2,1,1,2,4,2,0.7,5,3,0.9,3,3,3,3,1.0,1,3,1,2,5,1,3,200,1,2,2,4,5
2.18,3,3,0.91,2,3,2,0.77,2,2,3,4,5,3,2,3,3,5,2,4,3,1,4,1,4,0.81,2,3,0.7,1,4,1,5,0.79,2,4,4,1,2,1,5,300,0,2,4,3,1
2.63,3,1,0.83,2,1,1,0.93,1,0,4,2,4,3,1,1,1,4,2,2,2,3,2,3,1,0.69,1,5,0.7,2,3,2,2,0.9,2,2,3,3,3,0,1,300,2,2,1,2,5
2.52,1,1,0.89,2,4,4,0.55,1,1,1,5,1,3,2,1,4,4,4,3,4,3,5,1,5,0.9,2,3,0.79,3,4,5,5,0.7,4,2,4,2,1,0,3,200,1,5,3,3,2
2.93,4,0,0.7,2,1,3,0.79,2,1,3,3,3,3,4,3,1,3,5,4,2,2,1,1,3,0.93,4,1,0.78,3,1,2,3,0.69,2,3,5,3,3,0,2,300,2,1,2,1,2
3.06,3,2,1.0,5,4,1,0.79,4,0,2,2,3,5,4,1,4,4,2,3,2,4,5,2,4,0.7,4,1,0.78,2,3,2,4,0.82,3,3,3,1,1,0,5,200,0,4,3,3,3
2.7,3,3,0.92,2,1,5,0.66,1,0,2,3,2,1,4,2,1,3,1,5,2,4,2,1,2,0.79,4,2,0.7,4,4,2,1,0.7,2,3,4,1,1,0,2,300,1,5,4,2,2
1.6,5,1,0.82,3,3,1,0.69,1,0,3,1,4,4,5,5,3,3,1,3,3,2,2,2,2,0.84,5,3,0.8,2,4,3,1,0.55,3,4,4,1,4,0,5,300,1,2,5,4,4
2.54,2,3,0.99,5,3,2,0.79,2,2,3,3,4,2,5,4,3,3,4,2,3,5,5,1,1,0.7,5,2,0.7,2,5,5,4,1.0,5,3,1,3,3,0,5,300,1,3,4,3,5
3.39,2,2,0.86,2,1,5,0.57,2,0,1,3,3,2,2,3,1,1,3,4,2,1,4,1,3,1.0,2,4,0.9,4,1,1,4,0.99,3,3,4,1,4,0,2,300,1,4,2,2,5
3.02,1,2,0.98,3,4,3,0.79,2,0,1,3,4,3,2,3,4,4,2,3,2,4,3,1,3,1.0,2,3,0.7,3,3,2,3,0.69,4,3,2,3,2,1,2,200,2,3,3,2,1
2.55,1,3,0.9,2,1,3,0.99,1,1,4,2,3,5,3,2,1,3,5,4,3,3,3,2,3,1.0,3,3,0.91,4,5,4,4,0.87,1,1,2,1,4,1,1,300,1,2,2,3,2
2.32,5,5,0.86,2,1,2,0.6,0,0,2,4,2,5,2,3,1,3,3,2,3,3,1,0,5,0.87,2,4,0.7,2,3,2,4,0.9,2,5,2,1,5,1,4,300,1,3,3,3,2
