GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared
1.48,0.95,0.89,0.77,1.0,0.89,0,0,0,200,2,1,0,4,1,1,1,1,1,1,1,1,1,1,3,2,4,1,3,1,3,2,2,5,3,5,1,1,4,3,4,3,4,1,4,2,3,3,2,3,1,1,1,1,2,1,2,3
2.69,0.66,1.0,0.69,0.9,0.9,0,1,1,300,1,2,0,4,3,1,5,2,1,5,5,3,2,1,4,2,1,3,3,5,4,1,2,4,5,3,2,4,5,2,5,5,2,2,1,5,5,3,2,1,4,4,4,2,2,1,4,5
2.05,0.68,0.85,0.89,0.89,0.9,1,3,0,300,1,2,2,3,2,2,2,1,3,2,2,2,3,4,1,2,1,2,2,3,2,1,3,4,3,5,5,4,2,1,4,4,3,1,3,2,2,2,3,4,1,2,3,1,2,5,3,2
1.89,0.87,0.6,0.91,0.98,0.79,2,1,0,300,1,2,0,5,3,1,2,4,1,3,2,3,3,2,5,2,3,1,4,1,3,1,3,5,3,2,2,3,5,5,2,3,3,2,1,3,2,3,3,2,5,5,2,2,4,4,2,2
2.95,0.79,1.0,0.7,0.94,0.9,1,4,1,200,2,2,0,3,5,2,4,2,2,2,3,5,2,1,3,3,1,2,5,1,3,3,1,3,3,2,5,3,2,1,1,2,4,1,2,2,3,5,2,1,3,2,3,3,2,2,1,4
2.18,0.77,0.79,0.81,0.91,0.7,0,1,1,300,2,2,2,1,3,1,3,4,4,3,5,2,3,1,2,4,4,2,2,2,5,5,2,3,3,4,1,1,4,3,3,2,2,5,4,3,5,2,3,1,2,2,3,4,3,3,4,3
2.63,0.93,0.9,0.69,0.83,0.7,2,3,0,300,2,1,0,2,1,3,2,1,2,3,2,1,1,3,2,2,3,1,3,2,4,1,1,3,5,2,5,2,1,2,3,2,2,4,2,3,2,1,1,3,2,1,4,3,1,3,2,2
2.52,0.55,0.7,0.9,0.89,0.79,1,1,0,200,2,1,1,5,1,2,3,5,3,2,5,2,4,3,2,2,4,4,1,4,4,3,3,1,3,5,2,3,3,4,1,5,4,1,3,2,5,2,4,3,2,3,1,4,1,3,5,3
2.93,0.79,0.69,0.93,0.7,0.78,2,1,0,300,2,2,1,2,0,3,1,3,4,3,3,4,1,2,2,3,5,3,3,2,3,2,4,4,1,1,2,3,2,2,1,1,5,3,4,3,3,4,1,2,2,3,3,1,3,3,3,1
3.06,0.79,0.82,0.7,1.0,0.78,0,2,0,200,1,4,0,2,2,1,3,4,3,1,4,4,4,4,5,3,3,1,1,3,4,5,1,3,1,5,3,2,3,2,2,4,2,3,3,1,4,4,4,4,5,2,2,3,1,5,2,3
2.7,0.66,0.7,0.79,0.92,0.7,1,1,0,300,2,1,0,2,3,1,2,2,5,3,1,4,1,4,2,3,4,5,1,2,3,2,3,3,2,2,2,4,4,2,3,5,1,2,5,3,1,4,1,4,2,3,2,4,2,1,3,2
1.6,0.69,0.55,0.84,0.82,0.8,1,2,0,300,3,1,0,3,1,1,4,2,3,5,1,5,3,2,3,4,4,1,4,3,3,5,2,5,3,2,4,2,5,3,1,2,1,4,3,5,1,5,3,2,3,3,3,4,5,4,1,4
2.54,0.79,1.0,0.7,0.99,0.7,1,1,0,300,1,2,2,5,3,3,3,1,2,2,4,5,3,5,5,3,1,2,3,5,3,5,1,2,2,5,5,2,4,3,3,3,4,4,2,2,4,5,3,5,5,3,3,5,4,2,3,3
3.39,0.57,0.99,1.0,0.86,0.9,1,1,0,300,1,2,0,1,2,1,2,3,4,4,4,2,1,1,2,3,4,5,4,3,1,2,2,2,4,4,5,4,2,2,3,4,3,3,4,4,4,2,1,1,2,2,1,1,3,2,3,2
3.02,0.79,0.69,1.0,0.98,0.7,2,1,1,200,2,2,0,2,2,3,2,3,3,3,3,2,4,4,3,3,2,3,2,4,4,2,3,1,3,3,1,3,3,2,3,3,2,4,3,3,3,2,4,4,3,2,1,3,3,3,3,2
2.55,0.99,0.87,1.0,0.9,0.91,1,2,1,300,3,1,1,4,3,1,3,3,4,4,4,3,1,3,2,1,2,3,4,1,3,1,1,1,3,3,2,4,2,3,1,2,5,3,4,4,4,3,1,3,2,3,4,5,2,5,2,3
2.32,0.6,0.9,0.87,0.86,0.7,1,0,1,300,4,0,0,2,5,1,3,5,2,2,4,2,1,3,2,5,2,2,5,2,3,4,1,5,4,1,2,2,3,3,4,3,3,2,2,2,4,2,1,3,2,1,2,3,3,5,4,3
2.5,0.59,0.7,0.96,0.95,1.0,1,0,0,300,1,2,0,0,3,2,4,2,3,2,3,1,2,2,2,4,3,3,3,2,4,2,4,4,2,4,1,1,4,3,2,5,1,3,3,2,3,1,2,2,2,5,3,1,2,1,4,4
2.89,0.69,0.79,0.7,0.8,0.84,0,4,0,300,3,1,0,5,1,1,2,3,3,1,3,2,3,1,2,1,4,4,1,2,5,2,4,2,4,2,3,2,4,4,2,2,1,4,3,1,3,2,3,1,2,3,2,4,4,1,1,2
2.02,1.0,0.7,0.9,0.96,0.78,2,1,1,300,1,2,0,2,1,0,5,2,3,3,1,1,1,3,4,3,4,3,4,3,3,1,3,2,1,4,2,2,2,1,2,4,3,4,3,3,1,1,1,3,4,4,4,3,2,1,5,5
2.81,0.91,0.91,0.9,0.97,0.6,0,0,0,300,3,0,1,3,1,1,3,4,4,1,1,5,3,2,2,2,2,4,4,4,5,4,5,3,5,3,2,3,4,1,4,2,1,2,4,1,1,5,3,2,2,1,1,4,5,4,2,3
2.09,0.7,0.79,0.69,0.94,0.89,1,4,0,300,1,4,0,2,3,2,4,3,1,5,3,3,4,3,4,2,1,3,1,2,2,4,3,1,4,2,3,1,1,3,2,3,2,5,1,5,3,3,4,3,4,4,5,5,5,3,3,4
3.44,0.79,0.7,0.7,0.88,0.7,2,3,0,300,1,4,1,3,1,2,5,1,4,5,3,2,3,3,2,5,3,5,4,1,3,2,2,1,2,4,3,1,3,3,2,4,4,3,4,5,3,2,3,3,2,2,1,2,3,2,5,5
2.4,0.75,0.59,0.93,0.92,0.78,1,1,1,200,2,2,1,4,1,2,3,2,1,5,4,2,3,1,3,2,3,2,3,4,3,2,5,4,3,2,3,3,2,3,2,3,2,3,5,4,4,2,3,2,1,4,3,2,3,4,3,2
1.33,0.6,0.93,0.89,0.89,0.77,0,3,1,300,2,4,0,2,3,1,3,3,3,4,5,5,1,2,4,2,3,3,3,4,2,2,4,4,4,2,3,2,1,1,3,2,4,1,3,4,5,5,1,2,4,2,5,4,1,3,2,3
2.69,0.78,0.7,0.9,0.88,0.89,1,1,0,300,2,1,0,3,5,2,3,4,1,3,2,4,5,3,2,2,3,5,4,2,1,4,2,2,2,4,2,3,4,5,4,1,2,3,1,3,2,4,5,3,2,5,5,4,4,3,4,3
2.46,0.69,0.88,0.55,0.84,0.78,2,1,1,300,2,0,0,4,5,2,3,4,4,2,4,5,1,1,3,3,3,4,3,2,3,4,3,1,5,5,2,1,4,4,3,3,3,5,4,2,4,5,1,1,3,5,4,3,5,3,2,3
2.17,0.63,0.69,0.69,0.88,0.59,1,0,1,300,2,2,0,2,2,1,2,1,2,2,3,4,3,1,2,3,2,2,4,2,5,5,4,5,4,5,4,1,2,3,1,5,2,3,2,2,2,3,1,4,2,2,2,2,1,1,1,1
