GPA_S1,Persists when difficult,Takes rest breaks,CA_AVG,Manages time effectively,ATT_RATE,Confident in clinical skills,Anxious about assessments,EXAM_AVG,Reviews notes within 24h,CLIN_AVG,Participates in clubs,Sense of belonging,Confident to complete prog,LAB_AVG,Lecturers approachable,Concentration in self-study,Schedule conflicts,Hopeless/unmotivated,Balanced diet,Sleep difficulty,Adequate advisory support,Sleep_hrs,Programme prepares for career,Considered break,Adequate supervision,Sleep affects concentration,Rotations affect performance,Regular exercise,Uses library regularly,Burnt out,Emotionally supported,Early intervention provided,Participates in class,Self_risk_percep,Understands content pre-exam,ASSIGN_LATE,Financial_diff,Sets academic goals,Self-motivates,Year_study,Completes readings,Concerns taken seriously,Employment_hrs,Programme_ENT,Can improve performance,Seeks help when stuck,Prepared for clinical assess,Study_hrs_day,RISK_BINARY
2.78,2,2,0.88,2,0.79,3,4,0.79,2,0.89,1,5,1,0.97,4,5,1,3,2,4,4,3,3,4,2,2,3,1,4,2,4,1,2,2,3,3,5,3,4,3,3,3,1,0,2,1,4,2,0
2.28,4,2,0.96,2,0.7,5,3,0.87,3,0.66,4,5,4,0.97,4,3,4,4,2,5,2,2,3,4,2,2,3,1,2,2,4,2,3,3,4,2,5,1,2,3,1,1,1,0,1,4,4,2,1
2.76,4,2,0.79,1,0.89,1,4,0.79,3,0.6,3,3,3,1.0,2,3,1,4,5,1,2,2,2,2,2,3,3,3,2,3,3,3,5,3,2,2,2,3,2,3,3,3,4,0,1,3,1,2,1
2.52,2,3,0.88,2,0.9,3,2,0.8,4,0.7,5,3,1,0.73,2,2,3,4,1,2,2,6,5,4,5,3,2,1,2,3,4,4,3,4,3,2,1,3,3,2,3,3,3,0,2,5,2,4,1
3.07,2,1,0.69,5,0.79,2,4,0.9,3,0.89,4,3,3,0.95,4,1,4,3,5,4,1,1,2,5,1,3,1,3,1,2,5,2,5,2,3,3,3,4,2,3,1,1,4,0,5,4,1,5,0
3.35,4,1,0.89,4,0.89,4,3,0.6,3,0.79,1,2,2,0.8,2,5,5,2,4,3,4,2,3,3,5,3,1,4,4,1,1,5,4,2,5,1,1,3,5,3,4,4,3,0,3,1,2,4,0
2.9,4,2,0.7,2,0.93,3,3,0.69,2,0.85,5,2,2,0.92,2,3,1,2,2,5,5,6,1,1,4,2,4,1,5,3,4,3,1,2,2,2,5,5,5,3,4,4,3,0,5,5,1,2,1
2.8,1,1,0.91,1,0.79,4,3,0.9,1,0.9,2,4,1,0.8,2,1,4,3,3,5,4,4,2,3,3,5,2,3,4,2,3,5,3,2,2,3,2,1,1,3,4,4,1,0,3,2,3,2,0
2.26,5,2,0.57,3,0.79,2,3,0.72,3,0.69,4,2,5,0.99,2,1,4,5,1,4,3,2,3,1,3,1,4,4,3,3,2,2,2,2,1,3,5,3,5,2,2,2,1,0,5,4,2,2,1
3.19,4,3,1.0,5,0.9,4,3,0.69,4,0.7,3,4,1,1.0,2,2,2,1,3,5,4,2,4,3,4,1,3,5,4,4,4,4,1,3,5,2,3,4,5,2,2,2,3,0,3,3,1,2,0
3.07,1,3,0.89,4,0.99,3,3,0.69,1,0.77,3,3,5,0.73,3,3,5,2,1,2,5,6,3,3,3,4,4,2,5,1,4,3,5,2,2,2,1,3,2,3,4,4,2,0,4,3,2,2,1
2.95,2,4,0.79,2,0.9,1,3,1.0,4,0.7,2,1,2,0.94,3,2,5,3,1,3,2,6,3,2,2,2,1,1,2,1,5,5,1,3,2,2,3,3,1,2,3,3,1,0,3,2,3,3,0
2.86,1,3,0.66,4,0.79,3,3,0.87,1,0.79,4,4,1,0.6,1,2,2,3,5,2,3,4,3,4,3,5,2,4,3,4,2,2,2,3,2,2,3,4,3,3,1,1,1,0,3,4,2,3,0
2.78,3,2,0.87,3,0.79,2,2,1.0,1,0.77,5,3,3,0.85,2,3,1,3,2,2,2,4,4,1,5,5,1,3,2,3,1,2,4,4,4,2,2,2,4,3,3,3,1,0,4,5,3,3,1
0.98,1,4,0.79,3,0.72,4,2,1.0,5,0.92,4,3,3,1.0,2,2,4,1,4,3,4,2,2,2,2,2,1,2,4,2,4,5,1,4,3,2,2,1,3,3,4,4,2,0,1,4,3,2,1
3.08,3,2,0.9,2,0.7,1,5,0.63,4,0.89,3,2,2,0.9,3,2,5,4,5,3,2,2,1,2,2,2,2,2,2,1,3,4,5,3,1,1,5,3,3,2,3,3,1,0,2,3,2,4,1
2.44,2,4,1.0,3,0.79,5,3,1.0,3,0.69,2,3,2,0.7,2,1,5,3,3,4,4,4,3,1,1,3,5,4,4,2,1,5,3,2,3,2,2,2,2,3,2,2,2,0,3,2,4,3,1
1.74,3,4,0.79,2,0.79,4,2,0.9,4,0.91,2,4,2,0.74,2,2,4,5,3,1,3,2,4,2,1,2,1,3,3,2,1,3,1,3,5,3,5,1,4,3,3,3,1,0,3,2,3,2,1
2.42,4,2,0.79,3,0.94,2,2,0.8,4,0.9,1,3,5,0.75,2,3,5,3,2,1,4,3,3,3,5,3,3,4,4,1,1,4,3,3,2,2,2,4,5,2,1,1,2,0,3,1,3,5,1
3.48,4,4,0.79,2,0.99,2,4,0.7,3,0.79,2,3,3,0.93,3,4,2,5,4,3,3,6,2,5,4,2,4,3,3,1,2,3,3,1,3,2,3,3,3,3,2,2,1,0,2,2,4,1,0
1.57,3,2,0.5,4,0.7,3,3,0.92,3,0.89,3,3,4,0.47,4,3,1,2,4,4,3,2,2,2,2,1,3,5,2,2,3,3,4,3,2,3,3,4,3,2,3,3,1,0,3,3,4,2,1
3.11,2,1,0.78,1,0.96,3,2,0.79,3,0.79,3,5,4,0.89,3,4,2,1,3,1,3,3,5,5,3,2,1,3,3,4,1,1,3,1,5,1,2,4,2,3,2,2,2,0,1,3,3,5,0
1.9,2,3,0.78,3,0.57,5,2,0.7,5,0.68,2,4,5,1.0,2,4,3,5,3,3,2,3,1,1,1,2,4,2,2,1,2,4,3,1,3,1,1,3,5,3,1,1,4,0,2,2,2,3,1
2.52,4,5,0.99,4,0.79,5,2,0.7,2,0.7,2,4,3,0.78,1,5,3,3,1,2,1,6,2,4,1,3,2,1,1,5,4,2,2,2,3,2,1,1,2,2,4,4,1,0,4,2,2,3,1
2.16,5,1,1.0,1,1.0,1,4,0.92,3,0.89,3,3,2,0.9,3,4,1,3,3,2,1,4,3,3,5,5,3,2,1,3,3,2,3,1,2,3,2,3,4,3,3,3,1,0,2,3,2,3,0
2.2,5,5,0.88,1,1.0,2,4,0.66,3,0.85,3,4,3,0.9,4,2,3,4,3,5,5,2,4,5,3,3,2,3,5,3,4,3,2,2,1,2,4,5,4,3,2,2,1,0,2,3,1,1,1
2.94,5,3,0.7,2,0.67,2,4,0.89,2,1.0,4,4,4,0.96,4,5,3,3,1,1,3,2,2,3,4,1,2,5,3,3,1,2,1,4,1,2,3,5,3,3,3,3,2,0,5,4,4,3,1
3.69,5,1,0.93,1,0.99,1,1,0.79,4,0.7,3,2,5,0.91,4,3,1,3,3,2,3,3,5,2,2,4,4,2,3,3,2,3,1,1,2,3,1,5,3,3,3,3,1,0,2,3,3,1,0
2.64,5,3,0.9,4,0.88,2,3,0.9,3,1.0,1,4,1,0.9,3,3,4,3,3,1,2,4,5,3,4,4,1,1,2,3,2,2,4,2,4,2,2,3,5,3,4,4,3,0,2,1,4,3,0
3.43,1,1,0.92,5,0.96,1,5,0.77,2,0.7,2,4,3,0.92,3,2,4,2,4,2,1,3,1,4,4,4,2,2,1,2,3,2,2,1,3,2,2,2,3,3,3,3,1,0,1,2,4,1,1
2.89,2,3,1.0,4,0.93,4,1,0.87,2,0.87,3,1,2,0.99,3,3,2,1,5,3,4,2,2,5,3,2,3,4,4,2,3,1,2,3,4,3,3,3,4,3,5,5,1,0,3,3,3,2,0
2.59,1,2,0.96,2,0.66,3,1,0.79,3,0.89,1,2,1,0.74,5,4,4,3,4,3,5,4,2,2,3,1,2,4,5,4,4,5,3,1,5,1,3,1,5,3,3,3,1,0,3,1,5,3,1
2.4,2,3,0.9,5,0.79,2,2,0.9,1,0.79,5,2,3,1.0,2,4,1,3,1,1,2,4,2,2,4,3,2,4,2,4,2,2,4,3,4,3,3,4,2,3,2,2,1,0,2,5,1,2,1
3.07,1,5,0.89,5,0.7,3,3,0.9,4,0.66,1,1,3,1.0,1,3,4,4,4,4,3,4,1,1,2,4,1,4,3,3,3,5,4,4,4,2,1,1,1,3,3,3,1,0,2,1,1,3,0
2.78,2,3,0.77,3,0.7,2,5,0.81,4,0.81,4,3,2,0.72,3,3,5,5,4,3,4,3,1,5,1,2,4,4,1,4,4,5,4,3,5,2,2,3,3,2,3,4,1,0,3,4,3,2,1
2.57,5,5,0.67,2,0.69,3,5,0.66,3,0.79,3,4,5,0.94,3,3,1,3,2,3,5,2,3,2,4,2,3,1,5,3,2,4,3,3,2,3,5,5,2,3,2,2,1,0,4,3,4,3,1
3.39,3,3,0.57,2,0.9,3,1,0.99,2,1.0,4,3,2,0.86,4,1,4,2,3,2,4,3,2,4,5,2,4,2,4,2,5,2,1,2,3,2,3,1,3,3,4,4,1,0,1,4,3,1,0
3.02,3,3,0.7,2,0.79,3,3,1.0,3,0.92,3,1,4,0.91,4,4,3,5,2,4,3,3,1,1,5,2,4,3,3,2,2,4,4,3,4,2,1,3,2,3,2,2,1,0,2,3,2,3,1
2.31,4,3,0.78,4,0.79,5,1,0.79,5,0.89,4,3,3,1.0,2,3,4,5,1,3,5,3,5,4,3,4,3,4,5,2,1,4,2,2,3,2,5,3,5,2,4,4,2,0,2,4,4,3,1
3.41,5,3,0.89,2,0.89,3,2,0.7,4,0.7,1,3,2,1.0,3,3,4,5,5,4,3,1,3,2,3,1,2,3,3,3,2,4,2,3,2,2,2,2,5,3,3,3,2,0,1,1,2,2,0
2.54,4,4,0.77,3,1.0,5,3,0.69,5,0.69,2,3,2,0.49,1,4,4,2,2,3,3,3,3,4,3,3,2,3,3,3,3,1,1,3,5,2,2,2,3,3,1,1,1,0,4,2,1,2,0
2.4,3,2,0.75,4,0.78,4,3,0.59,3,0.93,5,3,4,0.92,3,3,3,4,2,2,4,2,1,2,2,2,3,3,5,5,3,2,1,3,2,2,3,2,3,2,4,4,2,0,3,1,2,4,0
2.21,4,1,0.53,3,0.6,3,2,0.8,5,0.89,4,5,5,0.72,3,4,4,1,5,3,5,1,5,1,3,1,2,5,5,2,3,5,3,3,3,2,1,5,3,2,3,4,1,0,5,3,3,2,1
2.38,1,4,0.93,5,1.0,3,5,0.7,5,0.57,2,3,4,0.87,1,2,3,3,2,1,1,3,5,4,2,4,2,1,1,4,3,4,3,3,4,3,5,3,4,3,2,2,1,0,2,2,3,1,1
3.57,1,4,0.75,2,1.0,4,3,0.7,2,0.79,3,2,3,0.95,1,1,3,4,3,4,2,4,2,3,3,5,5,2,2,1,1,5,3,1,3,3,5,4,3,2,2,2,1,0,3,3,3,2,0
2.7,4,3,0.92,3,0.73,3,2,1.0,4,0.69,3,3,3,0.77,3,3,3,1,5,1,3,2,1,2,5,1,1,3,3,4,2,2,1,3,4,2,5,4,3,3,5,5,2,0,2,3,1,3,0
2.67,2,4,0.79,3,0.69,4,5,0.98,2,0.79,3,4,2,0.91,2,3,2,1,3,2,3,4,3,3,4,4,2,4,3,2,3,4,4,3,1,3,3,2,4,2,2,2,3,0,2,3,3,5,0
2.93,5,3,0.69,2,0.89,2,2,0.78,3,1.0,1,2,5,0.91,4,1,1,1,3,2,3,6,3,3,4,4,3,1,3,4,3,3,3,3,4,1,1,5,2,3,4,4,1,0,2,1,3,2,0
2.36,4,3,0.69,3,0.92,1,1,0.78,1,0.99,5,3,3,0.98,4,1,3,2,3,1,1,2,1,3,4,3,3,2,1,5,1,1,5,3,1,1,2,4,3,3,2,2,1,0,2,5,4,2,0
2.41,4,3,0.79,4,0.99,5,4,0.9,3,0.79,5,3,2,0.7,4,2,5,5,3,5,2,3,1,2,2,3,5,4,2,4,4,3,3,1,3,1,4,1,1,3,4,4,3,0,1,5,3,4,0
3.25,4,2,1.0,2,0.7,5,5,0.65,2,0.7,2,3,1,0.73,2,1,2,3,5,3,3,3,4,3,3,5,3,4,3,5,5,5,1,2,2,2,5,3,3,2,3,3,2,0,3,2,1,2,1
2.96,5,1,0.68,3,1.0,4,4,0.9,2,0.93,2,3,4,0.91,2,1,2,5,4,2,1,2,1,5,4,3,3,2,1,4,3,4,3,3,3,2,1,3,3,3,2,2,1,0,2,2,3,3,1
2.33,2,5,0.89,4,0.7,1,4,0.69,2,0.89,2,5,2,0.59,2,5,2,1,3,4,5,6,1,3,2,3,5,5,5,2,1,4,3,2,1,2,5,4,3,3,5,5,2,0,2,2,3,1,1
3.13,2,2,0.86,2,1.0,2,5,0.8,3,0.8,5,4,1,0.63,3,2,5,5,3,3,3,4,1,5,2,4,4,3,1,4,2,3,3,1,5,1,2,2,1,2,3,2,1,0,2,4,3,2,1
2.54,1,1,1.0,2,0.69,1,2,0.77,4,0.7,1,4,2,0.9,1,4,2,2,1,1,2,2,3,2,2,4,1,3,2,4,5,3,3,3,3,2,2,5,3,3,2,2,1,0,2,1,2,4,0
2.55,2,1,0.93,2,0.69,3,1,0.67,3,0.89,1,1,1,1.0,1,5,4,4,5,1,1,4,4,1,5,1,2,1,2,2,1,1,4,4,4,2,3,3,3,2,2,1,2,0,2,3,1,4,0
2.02,2,3,1.0,1,0.78,3,3,0.7,5,0.9,3,4,4,0.96,2,1,4,2,2,1,3,2,4,4,3,2,4,1,3,3,2,1,3,1,2,3,3,3,5,3,1,1,1,0,4,3,3,2,1
3.35,3,2,0.89,1,0.9,2,5,0.8,2,0.66,5,3,2,1.0,1,1,2,3,4,1,4,2,4,4,4,5,3,2,4,4,3,1,5,2,3,2,3,3,4,2,2,2,1,0,3,5,3,3,0
2.86,4,5,0.66,2,0.85,4,1,0.8,3,0.78,4,3,4,0.99,3,3,4,4,2,2,2,1,3,3,2,3,1,2,2,4,5,2,1,3,3,3,2,3,4,2,1,1,2,0,4,4,2,3,0
2.05,3,4,0.8,2,0.7,4,3,0.9,2,0.93,1,2,2,0.95,2,1,2,4,3,2,2,6,3,2,2,4,2,4,2,1,3,4,4,2,5,2,3,4,2,3,1,1,4,0,4,1,3,4,1
3.45,3,2,0.79,4,0.69,4,2,0.69,4,0.63,2,3,3,0.72,5,3,3,2,4,3,3,2,3,4,3,4,2,4,3,3,4,2,2,2,4,3,1,3,2,3,4,4,1,0,1,2,1,2,0
3.13,2,2,0.76,1,0.8,2,4,0.92,5,0.92,4,4,2,0.65,4,2,4,4,3,5,3,3,1,4,2,5,5,3,1,4,3,5,2,3,4,1,4,2,2,2,2,5,1,0,2,4,4,3,0
2.57,3,3,0.7,2,0.69,2,4,1.0,4,1.0,5,1,4,0.88,4,1,5,2,1,2,1,4,3,3,4,1,4,3,1,2,3,1,3,2,3,2,2,2,5,2,2,2,4,0,4,5,1,3,1
2.58,3,2,0.69,2,0.89,1,2,0.75,2,1.0,3,2,3,0.86,3,2,3,3,2,3,2,6,4,2,3,3,4,5,2,3,2,1,3,1,3,2,4,2,1,2,2,2,4,0,4,3,1,2,0
2.45,2,5,0.96,4,0.9,4,4,0.9,3,0.93,2,3,5,0.75,1,2,1,3,3,4,3,4,2,3,2,2,1,4,3,1,2,3,1,3,3,1,2,2,4,3,2,2,1,0,1,2,4,3,1
3.0,4,4,0.99,1,0.9,4,1,0.91,4,0.89,5,4,4,0.85,4,2,2,1,1,2,3,4,2,1,5,4,3,1,3,3,4,4,2,1,5,2,3,2,5,3,1,1,1,0,5,5,1,5,1
2.22,2,2,0.7,5,1.0,3,4,0.73,5,0.9,1,4,1,0.88,3,4,1,2,3,3,4,6,3,4,4,4,4,3,4,2,4,4,1,4,1,2,2,2,2,3,2,2,1,0,2,1,4,2,1
2.18,3,2,0.77,3,0.7,2,5,0.79,3,0.81,4,5,2,0.91,1,3,2,3,3,5,3,4,2,4,2,4,4,3,3,2,1,2,1,2,4,1,3,4,4,3,5,5,3,0,3,4,4,1,0
2.69,4,2,0.78,3,0.89,2,1,0.7,3,0.9,1,3,5,0.88,3,5,4,2,4,4,3,6,2,4,5,4,3,5,3,2,2,4,3,3,4,2,2,4,4,3,2,2,1,0,5,1,2,3,1
3.06,4,2,1.0,1,0.89,4,3,0.66,2,0.8,5,3,5,0.88,4,5,3,3,1,2,4,4,1,1,3,2,3,1,4,3,1,3,1,3,3,2,5,1,3,3,5,5,3,0,4,5,5,2,0
2.61,2,2,0.9,4,0.69,5,4,0.7,1,1.0,4,2,3,0.87,4,1,5,3,3,5,4,6,4,5,5,1,3,2,4,3,3,3,3,3,3,2,3,1,2,3,3,3,4,0,2,4,5,4,1
2.8,1,3,1.0,5,0.89,3,5,0.7,1,0.9,3,4,3,0.89,2,1,2,4,4,5,3,1,3,3,5,5,2,1,3,2,1,1,4,4,3,2,5,5,5,3,2,2,2,0,3,3,3,4,1
3.22,4,5,0.88,5,1.0,3,3,0.93,2,0.6,3,2,2,0.69,3,4,1,1,4,3,5,4,4,2,2,2,1,4,5,2,2,3,1,2,1,3,2,3,3,3,1,1,3,0,1,3,3,2,0
2.36,3,5,0.93,3,0.69,2,4,0.35,1,0.7,3,3,1,0.94,3,4,2,1,4,3,3,6,4,1,2,1,3,1,4,5,1,2,3,2,1,2,5,1,4,2,3,3,4,0,1,3,4,2,0
3.09,2,1,0.79,5,1.0,3,4,0.69,2,0.69,4,3,2,1.0,2,2,2,4,5,4,1,4,3,5,3,5,4,2,1,4,4,1,1,3,2,3,3,2,4,3,2,2,4,0,1,4,2,2,0
2.55,2,5,0.99,5,0.91,1,3,0.87,3,1.0,4,3,3,0.9,4,1,4,1,1,1,4,4,2,3,3,2,2,3,4,1,2,3,3,2,3,2,2,5,2,3,4,4,2,0,4,4,1,4,0
3.09,3,3,0.92,1,1.0,4,5,0.7,2,0.93,5,3,4,1.0,5,3,3,5,1,3,2,2,4,4,3,4,3,2,2,3,3,5,4,2,3,3,5,3,5,3,2,2,1,0,2,5,3,2,0
3.06,3,1,0.78,5,0.69,2,2,0.7,5,1.0,5,4,5,0.72,1,1,2,3,4,3,3,2,2,4,2,2,3,3,3,4,3,4,3,1,2,3,1,4,4,3,3,3,4,0,2,5,3,2,0
2.75,2,5,1.0,3,0.69,4,2,0.7,3,0.55,1,4,2,0.9,2,4,4,5,3,2,3,4,4,2,1,4,1,2,3,4,1,3,1,3,4,2,1,2,3,3,4,4,1,0,4,1,4,2,0
2.54,4,4,0.79,2,0.7,5,3,1.0,3,0.7,2,4,3,0.99,2,3,3,2,3,5,2,4,5,5,2,4,1,3,2,1,5,5,5,4,1,2,3,5,3,3,4,4,3,0,3,2,3,5,1
2.81,2,1,0.8,3,0.9,3,4,0.6,2,0.8,3,3,1,0.63,3,2,4,4,4,4,3,2,2,5,5,4,4,1,2,4,2,4,2,2,2,2,5,2,2,2,3,3,1,0,2,4,3,4,1
2.19,1,5,0.67,4,0.9,4,5,0.7,3,0.69,4,1,1,1.0,5,4,3,5,2,2,2,6,5,1,3,3,2,1,2,1,1,2,4,3,3,2,5,3,2,2,4,4,1,0,5,4,3,4,1
2.16,2,2,0.89,4,0.7,3,5,0.73,2,0.83,5,3,5,0.68,3,4,2,5,5,3,4,6,2,3,5,2,3,3,4,3,2,2,4,4,2,1,1,2,2,3,1,1,2,0,3,5,3,3,0
2.69,2,2,0.66,1,0.9,5,4,1.0,5,0.69,1,2,4,0.9,4,2,3,4,5,1,5,4,4,3,3,5,1,2,5,2,2,3,1,2,2,1,3,2,4,3,5,5,1,0,4,1,2,4,1
