SID,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL,RISK_BINARY
HS2026494,2.78,0.88,0.79,0.89,0.97,0.79,Sometimes,21-23 years,Female,300,Nursing,Low income,Always,No,1-2 hours,5-6 hours,Low risk,2,3,1,4,3,1,5,2,3,4,3,2,1,3,4,4,2,3,1,4,4,4,2,1,2,3,2,5,1,4,3,1,5,2,3,1,2,3,2,2,4,2,Low Risk,0
HS2026554,2.28,0.96,0.87,0.66,0.97,0.7,Rarely,30-35 years,Male,300,Nursing,Low income,Always,No,1-2 hours,4-5 hours,Moderate risk,3,4,4,2,1,2,3,3,3,4,3,2,4,5,3,5,2,4,5,4,4,4,2,1,2,3,2,5,4,2,1,2,3,3,3,4,1,1,4,2,2,3,Moderate Risk,1
HS2026477,2.76,0.79,0.79,0.6,1.0,0.89,Rarely,27-29 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,1-2 hours,4-5 hours,Moderate risk,3,2,3,2,3,3,3,5,2,1,3,2,1,1,4,1,3,4,3,2,3,2,3,3,5,4,2,3,3,2,3,3,3,5,2,3,1,3,4,1,2,3,Moderate Risk,1
HS2026148,2.52,0.88,0.8,0.7,0.73,0.9,Rarely,27-29 years,Female,200,Nursing,High income,Never,Yes - 10-20 hours/week,3-4 hours,More than 8 hours,High risk,4,3,5,2,3,4,2,3,5,2,2,5,3,3,2,2,3,4,4,4,4,2,3,1,1,5,3,3,5,2,3,4,2,3,5,1,2,3,2,2,3,4,High Risk,1
HS2026354,3.07,0.69,0.9,0.89,0.95,0.79,Sometimes,30-35 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,More than 4 hours,Less than 4 hours,Low risk,3,3,4,1,1,2,1,5,2,1,1,1,4,2,4,4,2,3,1,5,5,4,3,3,5,1,1,3,4,1,1,2,1,5,2,3,5,4,2,5,2,3,Low Risk,0
HS2026513,3.35,0.89,0.6,0.79,0.8,0.89,Almost never,21-23 years,Female,300,Nursing,High income,Never,Yes - 10-20 hours/week,3-4 hours,4-5 hours,Low risk,3,5,1,4,4,5,5,4,3,2,1,5,5,4,3,3,1,2,4,3,1,2,3,4,4,4,1,2,1,4,4,5,5,4,3,2,3,3,4,4,5,3,Low Risk,0
HS2026203,2.9,0.7,0.69,0.85,0.92,0.93,Rarely,21-23 years,Male,300,Nursing,Low income,Always,Yes - 10-20 hours/week,1-2 hours,More than 8 hours,Low risk,2,2,5,5,4,3,3,1,1,1,4,4,1,3,3,5,3,2,3,1,4,2,2,1,2,4,2,2,5,5,4,3,3,1,1,2,5,5,4,2,5,2,High Risk,1
HS2026521,2.8,0.91,0.9,0.9,0.8,0.79,Sometimes,30-35 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Low risk,1,2,2,4,4,5,1,3,2,3,2,3,4,4,3,5,2,3,3,3,3,2,5,3,3,1,1,4,2,4,4,5,1,3,2,1,3,1,1,1,1,1,Low Risk,0
HS2026088,2.26,0.57,0.72,0.69,0.99,0.79,Sometimes,21-23 years,Male,200,Nursing,Low income,Always,No,1-2 hours,4-5 hours,Low risk,3,1,4,3,2,2,1,2,3,2,4,3,4,2,3,4,3,5,3,1,2,2,1,4,1,2,2,2,4,3,2,2,1,2,3,5,5,3,5,3,5,3,Moderate Risk,1
HS2026117,3.19,1.0,0.69,0.7,1.0,0.9,Rarely,30-35 years,Female,200,Nursing,Low income,Sometimes (monthly),Yes - 10-20 hours/week,1-2 hours,4-5 hours,Moderate risk,4,5,3,4,2,4,2,1,4,1,3,4,2,4,3,5,4,1,2,3,4,2,1,5,3,3,3,4,3,4,2,4,2,1,4,1,3,4,4,5,5,4,Low Risk,0
HS2026474,3.07,0.89,0.69,0.77,0.73,0.99,Rarely,21-23 years,Female,300,Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,1-2 hours,More than 8 hours,Low risk,1,2,3,5,4,3,3,5,3,2,4,3,5,3,3,2,1,2,2,3,4,3,4,2,1,2,3,3,3,5,4,3,3,5,3,5,4,3,1,4,2,1,Moderate Risk,1
HS2026096,2.95,0.79,1.0,0.7,0.94,0.9,Rarely,30-35 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,More than 8 hours,Moderate risk,4,2,2,2,3,5,2,1,3,3,1,2,5,1,3,3,1,3,3,2,5,3,2,1,1,2,4,1,2,2,3,5,2,1,3,2,3,3,2,2,1,4,Low Risk,0
