GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,Year_study,Gender_Female,Gender_Male,Programme_ENT,Programme_Nursing,RISK_LABEL
2.78,0.88,0.79,0.89,0.97,0.79,3,2,2,5,1,2,3,2,2,3,1,4,3,1,5,2,3,4,3,2,1,3,4,4,2,3,1,4,4,4,2,1,2,3,2,5,1,4,3,1,5,2,3,1,2,3,2,2,4,2,3,1,0,0,1,Low Risk
2.28,0.96,0.87,0.66,0.97,0.7,2,5,2,5,1,2,2,3,3,4,4,2,1,2,3,3,3,4,3,2,4,5,3,5,2,4,5,4,4,4,2,1,2,3,2,5,4,2,1,2,3,3,3,4,1,1,4,2,2,3,3,0,1,0,1,Moderate Risk
2.76,0.79,0.79,0.6,1.0,0.89,2,4,4,2,4,2,2,3,3,2,3,2,3,3,3,5,2,1,3,2,1,1,4,1,3,4,3,2,3,2,3,3,5,4,2,3,3,2,3,3,3,5,2,3,1,3,4,1,2,3,3,1,0,0,1,Moderate Risk
2.52,0.88,0.8,0.7,0.73,0.9,2,4,5,1,3,4,6,4,4,3,5,2,3,4,2,3,5,2,2,5,3,3,2,2,3,4,4,4,4,2,3,1,1,5,3,3,5,2,3,4,2,3,5,1,2,3,2,2,3,4,2,1,0,0,1,High Risk
3.07,0.69,0.9,0.89,0.95,0.79,3,5,3,3,4,5,1,2,3,3,4,1,1,2,1,5,2,1,1,1,4,2,4,4,2,3,1,5,5,4,3,3,5,1,1,3,4,1,1,2,1,5,2,3,5,4,2,5,2,3,3,0,1,0,1,Low Risk
3.35,0.89,0.6,0.79,0.8,0.89,1,2,5,1,3,4,2,2,3,5,1,4,4,5,5,4,3,2,1,5,5,4,3,3,1,2,4,3,1,2,3,4,4,4,1,2,1,4,4,5,5,4,3,2,3,3,4,4,5,3,3,1,0,0,1,Low Risk
2.9,0.7,0.69,0.85,0.92,0.93,2,2,2,5,3,2,6,2,2,2,5,5,4,3,3,1,1,1,4,4,1,3,3,5,3,2,3,1,4,2,2,1,2,4,2,2,5,5,4,3,3,1,1,2,5,5,4,2,5,2,3,0,1,0,1,High Risk
2.8,0.91,0.9,0.9,0.8,0.79,3,5,4,2,1,2,4,2,1,2,2,4,4,5,1,3,2,3,2,3,4,4,3,5,2,3,3,3,3,2,5,3,3,1,1,4,2,4,4,5,1,3,2,1,3,1,1,1,1,1,3,1,0,0,1,Low Risk
2.26,0.57,0.72,0.69,0.99,0.79,3,2,2,5,1,2,2,2,3,1,4,3,2,2,1,2,3,2,4,3,4,2,3,4,3,5,3,1,2,2,1,4,1,2,2,2,4,3,2,2,1,2,3,5,5,3,5,3,5,3,2,0,1,0,1,Moderate Risk
3.19,1.0,0.69,0.7,1.0,0.9,2,5,2,3,3,2,2,3,4,5,3,4,2,4,2,1,4,1,3,4,2,4,3,5,4,1,2,3,4,2,1,5,3,3,3,4,3,4,2,4,2,1,4,1,3,4,4,5,5,4,2,1,0,0,1,Low Risk
