number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.681490070775785,2026-09-03 13:30:28.011375,2026-09-03 13:30:28.996096,0 days 00:00:00.984721,0.662397808134481,0.2904180608409973,0.1205712628744377,8,6,250,0.6245760287469893,0.2537815508265665,0.6624074561769746,COMPLETE
1,0.6445535284820999,2026-09-03 13:30:29.002153,2026-09-03 13:30:30.023084,0 days 00:00:01.020931,0.6727299868828402,0.9170225492671691,0.2708160864249968,2,9,400,5.472429642032198e-06,0.12561043700013558,0.6849356442713105,COMPLETE
2,0.7253937332508761,2026-09-03 13:30:30.026520,2026-09-03 13:30:30.720085,0 days 00:00:00.693565,0.7465447373174767,2.28034992108518,0.08012737503998542,4,2,250,0.1165691561324743,0.006290644294586149,0.7168578594140873,COMPLETE
3,0.7324174568817428,2026-09-03 13:30:30.722938,2026-09-03 13:30:31.448848,0 days 00:00:00.725910,0.6260206371941118,4.7444276862666666,0.011711509955524094,6,7,300,4.905556676028774,1.7123375973163988,0.6682096494749166,COMPLETE
4,0.695309558166701,2026-09-03 13:30:31.452773,2026-09-03 13:30:32.027140,0 days 00:00:00.574367,0.798070764044508,0.17194260557609198,0.1024932221692416,2,5,200,1.527156759251193,0.010842262717330166,0.6488152939379115,COMPLETE
5,0.7253513021370164,2026-09-03 13:30:32.030661,2026-09-03 13:30:32.820590,0 days 00:00:00.789929,0.9878338511058234,3.8756641168055728,0.05864129169696527,4,6,350,2.854239907497756,3.7958531426706403,0.6739417822102108,COMPLETE
6,0.7313785817357246,2026-09-03 13:30:32.824598,2026-09-03 13:30:34.046728,0 days 00:00:01.222130,0.7301321323053057,1.9433864484474102,0.01351182947645082,8,2,350,2.7678419414850017e-06,2.0651425578959257,0.6180909155642152,COMPLETE
7,0.7544645433931148,2026-09-03 13:30:34.051043,2026-09-03 13:30:34.698298,0 days 00:00:00.647255,0.6298202574719083,4.9344346830025865,0.06333268775321843,3,2,250,0.08916674715636537,0.0062353771356731605,0.9208787923016158,COMPLETE
8,0.7155321926750499,2026-09-03 13:30:34.701123,2026-09-03 13:30:35.109640,0 days 00:00:00.408517,0.6296178606936361,1.7923286427213632,0.11069143219393454,7,8,100,1.1036250149900698e-07,2.8340904295147746,0.9085081386743783,COMPLETE
9,0.7343939393939394,2026-09-03 13:30:35.114887,2026-09-03 13:30:36.076130,0 days 00:00:00.961243,0.8918424713352255,3.1877873567760657,0.012413189635294229,4,4,350,0.9658611176861268,0.0774211647399625,0.7300733288106989,COMPLETE
10,0.7284824434824435,2026-09-03 13:30:36.079540,2026-09-03 13:30:37.142112,0 days 00:00:01.062572,0.8569379936612883,4.8064647337253446,0.03311680978601818,6,10,500,0.0021682061533507733,0.0016141532614811934,0.9902173701155405,COMPLETE
11,0.7356429945715661,2026-09-03 13:30:37.145500,2026-09-03 13:30:37.729911,0 days 00:00:00.584411,0.9385760300231564,3.3638106772052665,0.024267189387071533,4,4,150,0.0029151336209232823,0.057317833611625076,0.7945301665198253,COMPLETE
12,0.7673914313200028,2026-09-03 13:30:37.733212,2026-09-03 13:30:38.168676,0 days 00:00:00.435464,0.9541633958623692,3.7235425776200013,0.02966878211916749,3,1,100,0.001788792200258379,0.02074790947227053,0.826676077450069,COMPLETE
13,0.7705713598570743,2026-09-03 13:30:38.172630,2026-09-03 13:30:38.603163,0 days 00:00:00.430533,0.8332908615865308,4.101525122344799,0.04133713629478509,3,1,100,0.004811499595716167,0.012132398817719065,0.8493145117240506,COMPLETE
14,0.7620665842094414,2026-09-03 13:30:38.605655,2026-09-03 13:30:39.096802,0 days 00:00:00.491147,0.8423108717237495,4.038747638188752,0.03592005970549659,3,1,100,0.0018580404593515408,0.022234270761756166,0.8232392700887485,COMPLETE
15,0.759589775304061,2026-09-03 13:30:39.100243,2026-09-03 13:30:39.668935,0 days 00:00:00.568692,0.9930744627111218,3.09792738351634,0.022048649959771363,3,1,150,6.201403915250287e-05,0.0020755982654394886,0.8254659897080073,COMPLETE
16,0.7445141895141895,2026-09-03 13:30:39.671583,2026-09-03 13:30:40.900499,0 days 00:00:01.228916,0.9183768857357688,4.0518461580785425,0.044144536755594266,5,3,100,0.0004577643005171415,0.46359907122990196,0.8767712771323828,COMPLETE
17,0.7599867724867725,2026-09-03 13:30:40.907988,2026-09-03 13:30:41.523373,0 days 00:00:00.615385,0.7941674820540175,2.533881284358335,0.02096138112809108,2,1,150,0.02406175296963677,0.02981457086843823,0.8017895242646185,COMPLETE
18,0.722792723149866,2026-09-03 13:30:41.530830,2026-09-03 13:30:42.111908,0 days 00:00:00.581078,0.9491181818061525,4.302047948295612,0.16010084337788816,5,3,200,0.00014021547203370562,0.003516575240218642,0.8571512235206183,COMPLETE
19,0.7490898783755926,2026-09-03 13:30:42.117586,2026-09-03 13:30:42.575204,0 days 00:00:00.457618,0.8737084893214945,3.5945023953497364,0.04368230136064664,3,3,100,0.021560116283668374,0.02386513118408434,0.7640881690357239,COMPLETE
20,0.7377815570672712,2026-09-03 13:30:42.578563,2026-09-03 13:30:43.296602,0 days 00:00:00.718039,0.8210044140735986,2.53679367286302,0.016501479505930235,5,1,200,1.2722974438529106e-08,9.44867998440012,0.9712411472931488,COMPLETE
21,0.7665543186971758,2026-09-03 13:30:43.303378,2026-09-03 13:30:43.800735,0 days 00:00:00.497357,0.8370259294588857,4.333953184883756,0.03463704760432512,3,1,100,0.002723279025528458,0.017788384209388924,0.8420933858413324,COMPLETE
22,0.7539436885865458,2026-09-03 13:30:43.803662,2026-09-03 13:30:44.804978,0 days 00:00:01.001316,0.7562321078881946,4.423179556432574,0.029951344145486575,3,2,150,1.837142758723659e-05,0.011982515378109902,0.8839674653587793,COMPLETE
23,0.7512133237133237,2026-09-03 13:30:44.808981,2026-09-03 13:30:45.304308,0 days 00:00:00.495327,0.893830630627571,3.6270289155295954,0.05222554965640203,2,1,100,0.011360513385491126,0.036800281381717814,0.8461310007359396,COMPLETE
24,0.7554590118875832,2026-09-03 13:30:45.310556,2026-09-03 13:30:45.909359,0 days 00:00:00.598803,0.7832276051326577,4.416860695555195,0.02948331011792129,3,2,150,0.0005193858410116167,0.013513696302103053,0.9339776954058359,COMPLETE
25,0.7431144781144782,2026-09-03 13:30:45.913272,2026-09-03 13:30:46.408056,0 days 00:00:00.494784,0.7150741289461808,2.8575579687456925,0.01753552282082056,4,3,100,0.006534085277050338,0.001038759565421194,0.7760975920640389,COMPLETE
26,0.746187555830413,2026-09-03 13:30:46.414055,2026-09-03 13:30:47.083325,0 days 00:00:00.669270,0.8289321191129387,3.7451998279505645,0.04103442100484553,2,1,200,0.08889868452704773,0.13461433506372714,0.747551689663164,COMPLETE
27,0.7522708376279805,2026-09-03 13:30:47.086817,2026-09-03 13:30:47.708243,0 days 00:00:00.621426,0.9487986497998911,4.314158004489886,0.07563045109654326,3,2,150,0.00022489986626636845,0.00495391540008751,0.8877928039845633,COMPLETE
28,0.7481533017247303,2026-09-03 13:30:47.711137,2026-09-03 13:30:48.329968,0 days 00:00:00.618831,0.9123217700074135,4.6132099311584165,0.026218664300357877,4,4,100,4.0015668451015035e-05,0.04924739703929967,0.8389285111214565,COMPLETE
29,0.7297124304267161,2026-09-03 13:30:48.333635,2026-09-03 13:30:48.931206,0 days 00:00:00.597571,0.6957765371853207,3.33992554136246,0.1592172820823658,2,1,200,0.21056812125301555,0.3177250735419265,0.8073773292503984,COMPLETE
30,0.7378562839277125,2026-09-03 13:30:48.933919,2026-09-03 13:30:49.793685,0 days 00:00:00.859766,0.8572451974944143,0.6155467087603381,0.016333226641039523,5,3,150,0.001406089419737132,0.015951920063889055,0.9415025604559947,COMPLETE
31,0.7611490757919329,2026-09-03 13:30:49.797170,2026-09-03 13:30:50.326830,0 days 00:00:00.529660,0.8396937074828674,4.017143564610234,0.03934265246775214,3,1,100,0.0006329107675493272,0.016532319727928974,0.8221157331837389,COMPLETE
32,0.7508511990654848,2026-09-03 13:30:50.330271,2026-09-03 13:30:50.775472,0 days 00:00:00.445201,0.7697847388383272,4.099507721066921,0.034578739561296715,3,2,100,0.005242192875886121,0.10310958367921227,0.8603930814178284,COMPLETE
33,0.7476999587713873,2026-09-03 13:30:50.778183,2026-09-03 13:30:51.202467,0 days 00:00:00.424284,0.8057079502478693,3.582196355441381,0.053129794654216654,2,1,100,0.03403747318524926,0.023517208067450866,0.7742400461108276,COMPLETE
34,0.7447646533360819,2026-09-03 13:30:51.206060,2026-09-03 13:30:52.532215,0 days 00:00:01.326155,0.8508798264152508,2.8787283153465437,0.03623583065036288,4,2,500,2.7311088067544158e-06,0.007669478397650174,0.8312689884803469,COMPLETE
35,0.7588705077990792,2026-09-03 13:30:52.535814,2026-09-03 13:30:53.032166,0 days 00:00:00.496352,0.8794133475715233,4.5692414250552,0.06883691767781698,3,1,150,0.32989257214593154,0.20538679551377742,0.8657239010790555,COMPLETE
36,0.7265976087404659,2026-09-03 13:30:53.035686,2026-09-03 13:30:53.709959,0 days 00:00:00.674273,0.8069938030467275,3.899926500326185,0.09092216170561697,2,2,250,0.000969302511838424,0.008371837917508647,0.7001156249528088,COMPLETE
37,0.7510501271215557,2026-09-03 13:30:53.713584,2026-09-03 13:30:54.157150,0 days 00:00:00.443566,0.9678220054517275,1.4118320914290947,0.0490079244856725,3,1,100,1.2612256709615817e-05,0.003776391428975368,0.7965143936617907,COMPLETE
38,0.7456038273895417,2026-09-03 13:30:54.161574,2026-09-03 13:30:54.710399,0 days 00:00:00.548825,0.9169745565294549,4.9510667375723045,0.027549546900552554,4,3,150,0.00011235885261829394,0.7288224125149736,0.8995412172724692,COMPLETE
39,0.7442810760667903,2026-09-03 13:30:54.713360,2026-09-03 13:30:55.370394,0 days 00:00:00.657034,0.6711492975178491,4.136853800059058,0.019979713724259468,2,2,200,0.0034418428928608244,0.03699629200309612,0.7506911285876728,COMPLETE
40,0.7028377310520167,2026-09-03 13:30:55.376216,2026-09-03 13:30:56.101749,0 days 00:00:00.725533,0.7515030036475404,3.8075951109212434,0.2974053007288462,3,6,250,0.046797159006876816,0.06892127714329487,0.813165237163015,COMPLETE
41,0.7643748711605853,2026-09-03 13:30:56.108580,2026-09-03 13:30:56.542751,0 days 00:00:00.434171,0.8327566908429535,4.040295770021777,0.039751086756682555,3,1,100,0.0005515641468992461,0.016985696681356098,0.8227775998816063,COMPLETE
42,0.7668630179344464,2026-09-03 13:30:56.545480,2026-09-03 13:30:56.959229,0 days 00:00:00.413749,0.8241145511968017,4.6451326238254005,0.05846806588598685,3,1,100,0.01385488887948907,0.019778189453127475,0.8439358323501743,COMPLETE
43,0.7568777915206486,2026-09-03 13:30:56.961953,2026-09-03 13:30:57.375073,0 days 00:00:00.413120,0.8234750130079573,4.713285479162067,0.060391349278914125,4,2,100,0.006728731826176847,0.007687468193709387,0.8524506209427843,COMPLETE
44,0.7588543599257884,2026-09-03 13:30:57.378576,2026-09-03 13:30:57.901626,0 days 00:00:00.523050,0.7770669563856215,4.273269924742715,0.04929368725764793,3,1,150,0.0002900813074581903,0.002881866480619888,0.7908569410291092,COMPLETE
45,0.7425955129526558,2026-09-03 13:30:57.905124,2026-09-03 13:30:58.309796,0 days 00:00:00.404672,0.8818681040538651,3.3776390951471065,0.07966697573480758,2,2,100,0.019429378764163667,0.010490096625747933,0.9029423180845149,COMPLETE
46,0.7296823678966537,2026-09-03 13:30:58.313260,2026-09-03 13:30:59.000246,0 days 00:00:00.686986,0.8651982016446035,4.510491699894826,0.010355805470248376,7,8,150,0.0012845003424638295,0.044834598871453336,0.8704335528505429,COMPLETE
47,0.7407683982683982,2026-09-03 13:30:59.005133,2026-09-03 13:30:59.409065,0 days 00:00:00.403932,0.8383983726315646,4.729333962860506,0.030927987771140333,4,1,100,4.008831828977933,0.019042387864717646,0.8433887901076462,COMPLETE
48,0.7316500034357178,2026-09-03 13:30:59.411798,2026-09-03 13:30:59.911172,0 days 00:00:00.499374,0.7292089811843355,3.8279967518984037,0.12791368800076236,3,2,150,0.6406051994057608,0.004810780671603213,0.7804087783136098,COMPLETE
49,0.7551099429670858,2026-09-03 13:30:59.914902,2026-09-03 13:31:00.703894,0 days 00:00:00.788992,0.8093366255312865,4.965855060743474,0.056874679388451886,4,1,300,0.07960663196345175,0.029538248187923895,0.9145963131920342,COMPLETE
