Feature,Mean_Abs_SHAP,SHAP_Rank,SHAP_Contribution,Cumulative_SHAP,Selected
GPA_S1,1.7974942,1,0.18916789,0.18916789,True
Persists when difficult,0.38942194,2,0.04098268,0.23015057,True
Takes rest breaks,0.3284309,3,0.034563996,0.26471457,True
CA_AVG,0.3026821,4,0.031854197,0.29656875,True
Manages time effectively,0.28944838,5,0.030461483,0.32703024,True
ATT_RATE,0.2691901,6,0.028329507,0.35535973,True
Confident in clinical skills,0.2517324,7,0.026492262,0.381852,True
Anxious about assessments,0.23140034,8,0.02435252,0.40620452,True
EXAM_AVG,0.23099811,9,0.02431019,0.43051472,True
Reviews notes within 24h,0.22549884,10,0.023731448,0.45424616,True
CLIN_AVG,0.22223526,11,0.023387989,0.47763416,True
Participates in clubs,0.19379537,12,0.02039498,0.49802914,True
Sense of belonging,0.17752269,13,0.018682448,0.5167116,True
Confident to complete prog,0.17700164,14,0.018627614,0.53533924,True
LAB_AVG,0.17453027,15,0.018367527,0.55370677,True
Lecturers approachable,0.1723739,16,0.018140592,0.5718474,True
Concentration in self-study,0.1648197,17,0.017345589,0.589193,True
Schedule conflicts,0.16200165,18,0.017049018,0.606242,True
Hopeless/unmotivated,0.1614402,19,0.01698993,0.62323195,True
Balanced diet,0.15874505,20,0.016706293,0.63993824,True
Sleep difficulty,0.15510136,21,0.016322833,0.6562611,True
Adequate advisory support,0.15355554,22,0.016160151,0.6724212,True
Sleep_hrs,0.14341332,23,0.015092786,0.687514,True
Programme prepares for career,0.14273235,24,0.015021121,0.70253515,True
Considered break,0.1394622,25,0.014676971,0.71721214,True
Adequate supervision,0.12856537,26,0.013530191,0.73074234,True
Sleep affects concentration,0.12670532,27,0.01333444,0.7440768,True
Rotations affect performance,0.1259286,28,0.013252698,0.75732946,True
Regular exercise,0.122367695,29,0.0128779495,0.7702074,True
Uses library regularly,0.112662315,30,0.011856557,0.78206396,True
Burnt out,0.11124662,31,0.01170757,0.7937715,True
Emotionally supported,0.108469106,32,0.011415265,0.80518675,True
Early intervention provided,0.10480758,33,0.011029926,0.81621665,True
Participates in class,0.104258806,34,0.010972174,0.82718885,True
Self_risk_percep,0.1030432,35,0.010844244,0.8380331,True
Understands content pre-exam,0.08730931,36,0.009188413,0.8472215,True
ASSIGN_LATE,0.08602522,37,0.009053275,0.8562748,True
Financial_diff,0.08509976,38,0.008955879,0.8652307,True
Sets academic goals,0.08112984,39,0.008538087,0.87376875,True
Self-motivates,0.08044683,40,0.0084662065,0.88223493,True
Year_study,0.0796542,41,0.008382791,0.8906177,True
Completes readings,0.07900687,42,0.008314665,0.8989324,True
Concerns taken seriously,0.07779443,43,0.008187069,0.90711945,True
Employment_hrs,0.07761251,44,0.008167923,0.9152874,True
Programme_ENT,0.07611751,45,0.0080105895,0.92329794,True
Can improve performance,0.07498199,46,0.007891088,0.931189,True
Seeks help when stuck,0.07344485,47,0.00772932,0.9389183,True
Prepared for clinical assess,0.06812826,48,0.0071698027,0.9460881,True
Study_hrs_day,0.062367298,49,0.0065635205,0.9526516,True
Peer study groups effective,0.060777474,50,0.006396208,0.95904785,False
Clinical takes study time,0.05882219,51,0.006190434,0.9652383,False
Physical health affected,0.05263131,52,0.0055389074,0.97077715,False
SES,0.050511457,53,0.0053158146,0.976093,False
Age_group,0.04900921,54,0.0051577184,0.9812507,False
Health interferes studies,0.04542154,55,0.004780153,0.9860309,False
Knows where to get help,0.042917613,56,0.00451664,0.99054754,False
Feels prepared,0.038928606,57,0.0040968377,0.9946444,False
Takes organised notes,0.037436165,58,0.003939774,0.99858415,False
Gender_Female,0.013452348,59,0.0014157222,0.9999999,False
Gender_Male,0.0,60,0.0,0.9999999,False
Programme_Nursing,0.0,61,0.0,0.9999999,False
