Rank,Feature,Mean_SHAP,Mean_Abs_SHAP,Median_SHAP,SD_SHAP,Min_SHAP,Max_SHAP
1,GPA_S1,-0.0037050925,0.7156005,0.037986632,0.8802095,-1.4545312,2.2452974
2,Persists when difficult,0.0021852183,0.11960422,-0.059188724,0.12919053,-0.18325083,0.23716038
3,Takes rest breaks,-0.0012471281,0.10091114,0.053188667,0.15143421,-0.5793848,0.10534563
4,CA_AVG,0.002187922,0.07387062,-0.04422541,0.1390278,-0.09431335,0.84269345
5,Manages time effectively,0.0018589757,0.072895445,0.0063047623,0.11068213,-0.39788973,0.1298477
6,Anxious about assessments,-0.0052813324,0.06710886,-0.03460388,0.09547925,-0.15286514,0.38429442
7,Confident in clinical skills,0.0033119016,0.065403305,0.02420012,0.10044722,-0.37667537,0.19947368
8,Programme_ENT,-0.0052345707,0.05583772,-0.027738694,0.16593574,-0.051592033,1.2354282
9,ASSIGN_LATE,3.1071897e-05,0.050635926,-0.02732351,0.061107136,-0.09191303,0.21106717
10,Adequate supervision,0.00082025904,0.04965483,-0.02615656,0.060650796,-0.07255789,0.23274405
11,Adequate advisory support,0.0013485512,0.044932652,-0.005176165,0.077027075,-0.083126515,0.31822336
12,Schedule conflicts,-5.5919427e-05,0.03757633,0.00916329,0.04565664,-0.09406459,0.14152533
13,CLIN_AVG,0.0007696549,0.031971976,-0.014639642,0.04983246,-0.07956313,0.27609572
14,Hopeless/unmotivated,-0.00058856007,0.029625928,0.012191135,0.045764256,-0.1614896,0.03941273
15,Confident to complete prog,-0.00044492417,0.022513939,-0.006638864,0.036009636,-0.052525155,0.17295752
16,ATT_RATE,3.8946135e-05,0.020459384,-0.0028486163,0.026194062,-0.06432426,0.06029211
17,Concentration in self-study,-8.537588e-05,0.017668225,0.0033830653,0.024065882,-0.06670861,0.040909536
18,Sense of belonging,-0.0006809217,0.016772686,-0.0075656963,0.022173055,-0.044184733,0.115356855
19,EXAM_AVG,-1.5735593e-05,0.016305637,-0.0057495125,0.025998497,-0.056206077,0.1406898
20,Early intervention provided,0.00013094561,0.01603383,0.0061637904,0.018345693,-0.060602605,0.039420802
21,Self_risk_percep,-0.0009777115,0.015733868,-0.0031525888,0.02384794,-0.09900165,0.06718923
22,Emotionally supported,0.0012198798,0.015581715,-0.0036488879,0.01824129,-0.034996327,0.03148776
23,Completes readings,-0.0010180776,0.01538803,-0.0016340816,0.02050449,-0.07763756,0.05467702
24,Regular exercise,-0.0009841777,0.014171997,-0.004348932,0.026796145,-0.027623069,0.17615871
25,Rotations affect performance,-0.00051917805,0.01373433,0.00093935395,0.019102152,-0.08287812,0.04098207
26,Burnt out,-0.00074889715,0.013613035,0.0062838653,0.023862772,-0.09135292,0.029733717
27,Lecturers approachable,-0.00029526313,0.0135203535,0.0010746988,0.017185232,-0.05481779,0.06282649
28,Understands content pre-exam,0.0004382964,0.013195404,-0.0038291994,0.02465497,-0.016643504,0.10285443
29,LAB_AVG,0.00014075584,0.013045846,-0.0020535537,0.021163337,-0.036966242,0.12731561
30,Balanced diet,0.00015197833,0.012840561,-0.0068253973,0.018258367,-0.009597899,0.051668078
31,Sleep_hrs,0.001381725,0.01033644,0.0001070319,0.016483342,-0.046113517,0.06265155
32,Reviews notes within 24h,9.739032e-05,0.009175218,-0.0076186284,0.010829719,-0.0076186284,0.01999896
33,Participates in clubs,-0.0013268235,0.008916707,-0.001521617,0.014134442,-0.057506554,0.045773227
34,Prepared for clinical assess,0.0006562191,0.00834647,0.0025970216,0.010959888,-0.04896201,0.028926745
35,Sleep difficulty,0.0010447847,0.007930268,-0.002562608,0.00992937,-0.017490769,0.045455836
36,Considered break,-0.00030283656,0.007077519,-0.002451716,0.01096564,-0.030355439,0.04483354
37,Self-motivates,-0.00039570045,0.0063542523,0.002182937,0.0100524565,-0.031506173,0.0048866896
38,Concerns taken seriously,0.00013118613,0.0061365096,0.0023923905,0.0073983152,-0.015311027,0.006691427
39,Study_hrs_day,-0.00025954316,0.0055687246,-0.0018604965,0.010332615,-0.0046666283,0.042803936
40,Participates in class,-0.0010454318,0.0055321627,-0.0015174949,0.009230428,-0.05849139,0.027382547
41,Year_study,0.0010437324,0.004744074,0.0015478332,0.007645674,-0.018403964,0.034955736
42,Seeks help when stuck,0.00022817455,0.0045324313,0.0013706884,0.0069798953,-0.027563583,0.016063765
43,Programme prepares for career,-0.000329389,0.0038934632,0.0011441291,0.006853658,-0.03013464,0.008114924
44,Can improve performance,-0.00013116542,0.0029237836,-0.00073542714,0.0053581754,-0.010743091,0.025806123
45,Sleep affects concentration,6.453457e-05,0.0020825916,-0.00058344833,0.005365645,-0.005814229,0.042049494
46,Uses library regularly,0.0,0.0,0.0,0.0,0.0,0.0
47,Sets academic goals,0.0,0.0,0.0,0.0,0.0,0.0
48,Financial_diff,0.0,0.0,0.0,0.0,0.0,0.0
49,Employment_hrs,0.0,0.0,0.0,0.0,0.0,0.0
