Rank,Feature,Mean_SHAP,Mean_Abs_SHAP,Median_SHAP,SD_SHAP,Min_SHAP,Max_SHAP
1,GPA_S1,-0.0037050925,0.7156005,0.037986632,0.8802095,-1.4545312,2.2452974
2,Persists when difficult,0.0021852183,0.11960422,-0.059188724,0.12919053,-0.18325083,0.23716038
3,Takes rest breaks,-0.0012471281,0.10091114,0.053188667,0.15143421,-0.5793848,0.10534563
4,CA_AVG,0.002187922,0.07387062,-0.04422541,0.1390278,-0.09431335,0.84269345
5,Manages time effectively,0.0018589757,0.072895445,0.0063047623,0.11068213,-0.39788973,0.1298477
6,Anxious about assessments,-0.0052813324,0.06710886,-0.03460388,0.09547925,-0.15286514,0.38429442
7,Confident in clinical skills,0.0033119016,0.065403305,0.02420012,0.10044722,-0.37667537,0.19947368
8,Programme_ENT,-0.0052345707,0.05583772,-0.027738694,0.16593574,-0.051592033,1.2354282
9,ASSIGN_LATE,3.1071897e-05,0.050635926,-0.02732351,0.061107136,-0.09191303,0.21106717
10,Adequate supervision,0.00082025904,0.04965483,-0.02615656,0.060650796,-0.07255789,0.23274405
11,Adequate advisory support,0.0013485512,0.044932652,-0.005176165,0.077027075,-0.083126515,0.31822336
12,Schedule conflicts,-5.5919427e-05,0.03757633,0.00916329,0.04565664,-0.09406459,0.14152533
13,CLIN_AVG,0.0007696549,0.031971976,-0.014639642,0.04983246,-0.07956313,0.27609572
14,Hopeless/unmotivated,-0.00058856007,0.029625928,0.012191135,0.045764256,-0.1614896,0.03941273
15,Confident to complete prog,-0.00044492417,0.022513939,-0.006638864,0.036009636,-0.052525155,0.17295752
16,ATT_RATE,3.8946135e-05,0.020459384,-0.0028486163,0.026194062,-0.06432426,0.06029211
17,Concentration in self-study,-8.537588e-05,0.017668225,0.0033830653,0.024065882,-0.06670861,0.040909536
18,Sense of belonging,-0.0006809217,0.016772686,-0.0075656963,0.022173055,-0.044184733,0.115356855
19,EXAM_AVG,-1.5735593e-05,0.016305637,-0.0057495125,0.025998497,-0.056206077,0.1406898
20,Early intervention provided,0.00013094561,0.01603383,0.0061637904,0.018345693,-0.060602605,0.039420802
