,count,mean,std,min,25%,50%,75%,max
CGPA_Y1,585,2.861131197,0.414613517,1.6,2.6075,2.88375,3.1355,4
GPA_S1,585,2.716290598,0.557368528,0.93,2.39,2.79,3.11,3.95
CA_AVG,585,0.803589744,0.126342527,0.32,0.7,0.79,0.9,1
EXAM_AVG,585,0.799025641,0.127750188,0.35,0.7,0.79,0.9,1
CLIN_AVG,585,0.803299145,0.122849534,0.4,0.7,0.79,0.9,1
LAB_AVG,585,0.856529915,0.115838632,0.4,0.8,0.88,0.94,1
ATT_RATE,585,0.819709402,0.122013997,0.55,0.7,0.79,0.91,1
FAIL_COUNT,585,0.878632479,1.225012515,0,0,0,2,8
Year_study,585,270.7692308,45.52121751,200,200,300,300,300
Reviews notes within 24h,585,2.873504274,1.176714223,1,2,3,4,5
Understands content pre-exam,585,2.820512821,1.217842415,1,2,3,4,5
Seeks help when stuck,585,2.846153846,1.217842415,1,2,3,4,5
Uses library regularly,585,2.774358974,1.237412917,1,2,3,4,5
Completes readings,585,2.753846154,1.234876905,1,2,3,4,5
Takes organised notes,585,2.820512821,1.247019629,1,2,3,4,5
Concentration in self-study,585,2.747008547,1.15016174,1,2,3,3,5
Participates in class,585,2.823931624,1.218342236,1,2,3,4,5
Clinical takes study time,585,2.92991453,1.205102235,1,2,3,4,5
Prepared for clinical assess,585,2.716239316,1.162260232,1,2,3,4,5
Rotations affect performance,585,2.900854701,1.208027922,1,2,3,4,5
Adequate supervision,585,2.844444444,1.282685302,1,2,3,4,5
Schedule conflicts,585,2.933333333,1.260843379,1,2,3,4,5
Confident in clinical skills,585,2.822222222,1.213163468,1,2,3,4,5
Anxious about assessments,585,2.984615385,1.27466188,1,2,3,4,5
Sleep difficulty,585,2.935042735,1.206100095,1,2,3,4,5
Burnt out,585,2.87008547,1.231803511,1,2,3,4,5
Hopeless/unmotivated,585,3.005128205,1.273400565,1,2,3,4,5
Physical health affected,585,3.017094017,1.221825675,1,2,3,4,5
Considered break,585,3.013675214,1.303243187,1,2,3,4,5
Emotionally supported,585,2.803418803,1.249926821,1,2,3,4,5
Lecturers approachable,585,2.861538462,1.213356473,1,2,3,4,5
Sleep affects concentration,585,2.953846154,1.271226518,1,2,3,4,5
Regular exercise,585,2.815384615,1.231758362,1,2,3,4,5
Balanced diet,585,2.811965812,1.229848693,1,2,3,4,5
Health interferes studies,585,3.029059829,1.260915344,1,2,3,4,5
Takes rest breaks,585,2.899145299,1.29080625,1,2,3,4,5
Sense of belonging,585,2.878632479,1.252656701,1,2,3,4,5
Participates in clubs,585,2.868376068,1.235092585,1,2,3,4,5
Adequate advisory support,585,2.806837607,1.217152421,1,2,3,4,5
Concerns taken seriously,585,2.798290598,1.247050143,1,2,3,4,5
Early intervention provided,585,2.912820513,1.233489486,1,2,3,4,5
Peer study groups effective,585,2.690598291,1.146016247,1,2,3,3,5
Knows where to get help,585,2.84957265,1.22387941,1,2,3,4,5
Programme prepares for career,585,2.752136752,1.222687802,1,2,3,4,5
Confident to complete prog,585,2.776068376,1.289887537,1,2,3,4,5
Can improve performance,585,2.724786325,1.247388092,1,2,3,4,5
Sets academic goals,585,2.741880342,1.235895723,1,2,3,4,5
Persists when difficult,585,2.827350427,1.247986319,1,2,3,4,5
Manages time effectively,585,2.827350427,1.289819458,1,2,3,4,5
Self-motivates,585,2.818803419,1.259751798,1,2,3,4,5
Feels prepared,585,2.757264957,1.178816756,1,2,3,4,5
