Variable,Outliers,Percentage
CGPA_Y1,13,2.22
GPA_S1,10,1.71
CA_AVG,2,0.34
EXAM_AVG,1,0.17
CLIN_AVG,0,0
LAB_AVG,14,2.39
ATT_RATE,0,0
FAIL_COUNT,4,0.68
Year_study,0,0
Reviews notes within 24h,0,0
Understands content pre-exam,0,0
Seeks help when stuck,0,0
Uses library regularly,0,0
Completes readings,0,0
Takes organised notes,0,0
Concentration in self-study,49,8.38
Participates in class,0,0
Clinical takes study time,0,0
Prepared for clinical assess,0,0
Rotations affect performance,0,0
Adequate supervision,0,0
Schedule conflicts,0,0
Confident in clinical skills,0,0
Anxious about assessments,0,0
Sleep difficulty,0,0
Burnt out,0,0
Hopeless/unmotivated,0,0
Physical health affected,0,0
Considered break,0,0
Emotionally supported,0,0
Lecturers approachable,0,0
Sleep affects concentration,0,0
Regular exercise,0,0
Balanced diet,0,0
Health interferes studies,0,0
Takes rest breaks,0,0
Sense of belonging,0,0
Participates in clubs,0,0
Adequate advisory support,0,0
Concerns taken seriously,0,0
Early intervention provided,0,0
Peer study groups effective,43,7.35
Knows where to get help,0,0
Programme prepares for career,0,0
Confident to complete prog,0,0
Can improve performance,0,0
Sets academic goals,0,0
Persists when difficult,0,0
Manages time effectively,0,0
Self-motivates,0,0
Feels prepared,0,0
